experiment_name,role,source_wav_id,heat_flux,q_over_onb,threshold_in_1e9_units,n_peak_pass,n_training_retained_if_applied,n_strong,passing_chunk_indices
2025.06.11_0.3_2,train,index=1.3.28E-04,0.000328047,8.890690140001667e-10,0.1,0,60,0,
2025.06.11_0.3_2,train,index=1.3.28E-04,0.000328047,8.890690140001667e-10,0.3,0,60,0,
2025.06.11_0.3_2,train,index=1.3.28E-04,0.000328047,8.890690140001667e-10,1.0,0,60,0,
2025.06.11_0.3_2,train,index=1.3.28E-04,0.000328047,8.890690140001667e-10,3.0,0,60,0,
2025.06.11_0.3_2,train,index=1.3.28E-04,0.000328047,8.890690140001667e-10,10.0,0,60,0,
2025.06.11_0.3_2,train,index=1.3.28E-04,0.000328047,8.890690140001667e-10,30.0,0,60,0,
2025.06.11_0.3_2,train,index=10.3.15E+05,315466.1173,0.854972457783098,0.1,55,60,22,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|18|19|20|22|23|24|26|27|29|30|31|32|33|34|35|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
2025.06.11_0.3_2,train,index=10.3.15E+05,315466.1173,0.854972457783098,0.3,53,60,22,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|18|19|20|22|23|26|27|29|30|31|32|33|34|35|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|54|55|56|57|58|59
2025.06.11_0.3_2,train,index=10.3.15E+05,315466.1173,0.854972457783098,1.0,51,60,22,0|1|2|3|4|5|6|7|8|9|10|11|14|15|16|18|19|20|22|23|26|27|29|30|31|32|33|34|35|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|54|55|56|57|58|59
2025.06.11_0.3_2,train,index=10.3.15E+05,315466.1173,0.854972457783098,3.0,41,60,22,2|5|6|7|8|9|10|11|14|15|16|19|20|22|23|26|27|30|31|32|34|35|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|55|56|57
2025.06.11_0.3_2,train,index=10.3.15E+05,315466.1173,0.854972457783098,10.0,22,60,22,5|6|10|11|15|19|20|30|32|34|35|39|40|42|45|46|47|48|49|50|51|56
2025.06.11_0.3_2,train,index=10.3.15E+05,315466.1173,0.854972457783098,30.0,2,60,22,49|51
2025.06.11_0.3_2,train,index=11.3.69E+05,368978.105,1.0,0.1,60,60,59,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
2025.06.11_0.3_2,train,index=11.3.69E+05,368978.105,1.0,0.3,60,60,59,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
