frequency,model,n_wavs,mse_change_minus20_minus0
maxfreq=22kHz,rf,18,-581257146.0121554
maxfreq=22kHz,rf,17,-239004997.00913787
maxfreq=22kHz,cnntf_v2_gap,18,380721736.6495476
maxfreq=22kHz,cnntf_v2_gap,17,1927141706.635047
maxfreq=22kHz,alexnet,18,-1305861557.7589643
maxfreq=22kHz,alexnet,17,-244609214.3586309
maxfreq=22kHz,ensemble__simple_equal,18,-181119711.80874974
maxfreq=22kHz,ensemble__simple_equal,17,852986657.3734357
maxfreq=22kHz,ensemble__inner_holdout,18,-663076580.1176171
maxfreq=22kHz,ensemble__inner_holdout,17,614690112.5684137
maxfreq=3kHz,rf,18,-138915708.37212527
maxfreq=3kHz,rf,17,708491307.6961768
maxfreq=3kHz,cnntf_v2_gap,18,793298428.6649146
maxfreq=3kHz,cnntf_v2_gap,17,1824656700.7103667
maxfreq=3kHz,alexnet,18,1211629775.0309715
maxfreq=3kHz,alexnet,17,2921202050.0922346
maxfreq=3kHz,ensemble__simple_equal,18,566730461.9987684
maxfreq=3kHz,ensemble__simple_equal,17,1783628520.2951288
maxfreq=3kHz,ensemble__inner_holdout,18,674844710.1212184
maxfreq=3kHz,ensemble__inner_holdout,17,1990745854.1694953
