frequency,snr,unit,ensemble,cross_term_div_var,shift_square_div_var,r2_loss_vs_cnn
maxfreq=22kHz,no_noise,chunk,ensemble__simple_equal,-0.0006741632181941887,0.00871875524172679,0.008044592023532601
maxfreq=22kHz,no_noise,chunk,ensemble__inner_holdout,-0.0030193064581035384,0.0054140146774680695,0.0023947082193645315
maxfreq=22kHz,no_noise,wav_median,ensemble__simple_equal,0.002435226653594625,0.00492527629143999,0.007360502945034614
maxfreq=22kHz,no_noise,wav_median,ensemble__inner_holdout,-0.001031165709652433,0.0031881144558185497,0.0021569487461661147
maxfreq=22kHz,-20,chunk,ensemble__simple_equal,-0.010653388787853574,0.017205063662819983,0.006551674874966403
maxfreq=22kHz,-20,chunk,ensemble__inner_holdout,-0.008424292624719566,0.01063072410792278,0.0022064314832032127
maxfreq=22kHz,-20,wav_median,ensemble__simple_equal,-0.0024666991762825412,0.010188235453595477,0.007721536277312938
maxfreq=22kHz,-20,wav_median,ensemble__inner_holdout,-0.0026511266726333125,0.006288833319820085,0.0036377066471867743
maxfreq=22kHz,0,chunk,ensemble__simple_equal,-0.0002026310177566555,0.01702368785261025,0.01682105683485359
maxfreq=22kHz,0,chunk,ensemble__inner_holdout,0.0017992245049904985,0.015321315131364728,0.017120539636355223
maxfreq=22kHz,0,wav_median,ensemble__simple_equal,0.003523830246653431,0.012017276043614243,0.015541106290267677
maxfreq=22kHz,0,wav_median,ensemble__inner_holdout,0.006528016137806276,0.011637016750194469,0.018165032888000737
maxfreq=3kHz,no_noise,chunk,ensemble__simple_equal,-0.0004006047488214989,0.0065361202489410955,0.006135515500119597
maxfreq=3kHz,no_noise,chunk,ensemble__inner_holdout,-0.0005741996859770995,0.004528399556296146,0.003954199870319047
maxfreq=3kHz,no_noise,wav_median,ensemble__simple_equal,0.006160688513084748,0.002550689179312717,0.008711377692397463
maxfreq=3kHz,no_noise,wav_median,ensemble__inner_holdout,0.005632469802618061,0.0016725845263164385,0.007305054328934502
maxfreq=3kHz,-20,chunk,ensemble__simple_equal,-0.009881334442719294,0.011265363807262712,0.0013840293645434182
maxfreq=3kHz,-20,chunk,ensemble__inner_holdout,-0.009820080964123018,0.011598884035127457,0.0017788030710044363
maxfreq=3kHz,-20,wav_median,ensemble__simple_equal,-0.0014755890840032564,0.006650617243591497,0.005175028159588239
maxfreq=3kHz,-20,wav_median,ensemble__inner_holdout,-0.00191436801307654,0.00672896479311858,0.004814596780042036
maxfreq=3kHz,0,chunk,ensemble__simple_equal,-0.0006848015850186749,0.006532183385589129,0.005847381800570452
maxfreq=3kHz,0,chunk,ensemble__inner_holdout,-0.0004765122525490248,0.0042481057408926565,0.003771593488343631
maxfreq=3kHz,0,wav_median,ensemble__simple_equal,0.005557905824411524,0.0027704391346050953,0.008328344959016623
maxfreq=3kHz,0,wav_median,ensemble__inner_holdout,0.004800096894053875,0.0016631093789134905,0.006463206272967367
