frequency,snr,unit,fold,model,r2
maxfreq=22kHz,no_noise,chunk,1,rf,0.9284517767325345
maxfreq=22kHz,no_noise,chunk,1,cnntf_v2_gap,0.9708206488917677
maxfreq=22kHz,no_noise,chunk,1,alexnet,0.964938129305529
maxfreq=22kHz,no_noise,chunk,1,ensemble__simple_equal,0.9662740118633267
maxfreq=22kHz,no_noise,chunk,1,ensemble__inner_holdout,0.9700320446435184
maxfreq=22kHz,no_noise,chunk,2,rf,0.8680804169865491
maxfreq=22kHz,no_noise,chunk,2,cnntf_v2_gap,0.9699060142620207
maxfreq=22kHz,no_noise,chunk,2,alexnet,0.9349648523042412
maxfreq=22kHz,no_noise,chunk,2,ensemble__simple_equal,0.9444024941902988
maxfreq=22kHz,no_noise,chunk,2,ensemble__inner_holdout,0.9517355536386536
maxfreq=22kHz,no_noise,chunk,3,rf,0.8604305085898576
maxfreq=22kHz,no_noise,chunk,3,cnntf_v2_gap,0.9035719598581345
maxfreq=22kHz,no_noise,chunk,3,alexnet,0.9328762964971609
maxfreq=22kHz,no_noise,chunk,3,ensemble__simple_equal,0.911088224837183
maxfreq=22kHz,no_noise,chunk,3,ensemble__inner_holdout,0.9173059603164977
maxfreq=22kHz,no_noise,wav_median,1,rf,0.9714579086549017
maxfreq=22kHz,no_noise,wav_median,1,cnntf_v2_gap,0.9904060694214798
maxfreq=22kHz,no_noise,wav_median,1,alexnet,0.9844628733171069
maxfreq=22kHz,no_noise,wav_median,1,ensemble__simple_equal,0.9905279515935097
maxfreq=22kHz,no_noise,wav_median,1,ensemble__inner_holdout,0.9913552270271427
maxfreq=22kHz,no_noise,wav_median,2,rf,0.8759126641876676
maxfreq=22kHz,no_noise,wav_median,2,cnntf_v2_gap,0.9776362748948564
maxfreq=22kHz,no_noise,wav_median,2,alexnet,0.9439563931840663
maxfreq=22kHz,no_noise,wav_median,2,ensemble__simple_equal,0.9483944151468653
maxfreq=22kHz,no_noise,wav_median,2,ensemble__inner_holdout,0.9562812598641028
maxfreq=22kHz,no_noise,wav_median,3,rf,0.89224706353735
maxfreq=22kHz,no_noise,wav_median,3,cnntf_v2_gap,0.9119776516738707
maxfreq=22kHz,no_noise,wav_median,3,alexnet,0.940994477817239
maxfreq=22kHz,no_noise,wav_median,3,ensemble__simple_equal,0.9215254642756688
maxfreq=22kHz,no_noise,wav_median,3,ensemble__inner_holdout,0.9284528678250208
maxfreq=22kHz,-20,chunk,1,rf,0.929959597338677
maxfreq=22kHz,-20,chunk,1,cnntf_v2_gap,0.9209653705191748
maxfreq=22kHz,-20,chunk,1,alexnet,0.9103142230492727
maxfreq=22kHz,-20,chunk,1,ensemble__simple_equal,0.9386547553443012
maxfreq=22kHz,-20,chunk,1,ensemble__inner_holdout,0.938700306704583
maxfreq=22kHz,-20,chunk,2,rf,0.8904215881709641
