frequency,snr,models,posthoc_wav_r2
maxfreq=22kHz,no_noise,rf+cnntf_v2_gap,0.9454338584296077
maxfreq=22kHz,no_noise,rf+alexnet,0.9470013099052432
maxfreq=22kHz,no_noise,cnntf_v2_gap+alexnet,0.9630856911387822
maxfreq=22kHz,-20,rf+cnntf_v2_gap,0.9401973905070542
maxfreq=22kHz,-20,rf+alexnet,0.921165099670132
maxfreq=22kHz,-20,cnntf_v2_gap+alexnet,0.9341430412395979
maxfreq=22kHz,0,rf+cnntf_v2_gap,0.9402205448403531
maxfreq=22kHz,0,rf+alexnet,0.9162213280681396
maxfreq=22kHz,0,cnntf_v2_gap+alexnet,0.9283735576183987
maxfreq=3kHz,no_noise,rf+cnntf_v2_gap,0.9336494648916417
maxfreq=3kHz,no_noise,rf+alexnet,0.9300409331996682
maxfreq=3kHz,no_noise,cnntf_v2_gap+alexnet,0.9373841882724747
maxfreq=3kHz,-20,rf+cnntf_v2_gap,0.9333456713070056
maxfreq=3kHz,-20,rf+alexnet,0.9236219511930969
maxfreq=3kHz,-20,cnntf_v2_gap+alexnet,0.9271219747915348
maxfreq=3kHz,0,rf+cnntf_v2_gap,0.9340814395466529
maxfreq=3kHz,0,rf+alexnet,0.9334762687022473
maxfreq=3kHz,0,cnntf_v2_gap+alexnet,0.939719178124681
