frequency,model,source_wav_id,y_true,sse_reduction_0_to_minus20
maxfreq=22kHz,rf,index=1.3.28E-04,0.0003280469999999,6399543679.063454
maxfreq=22kHz,rf,index=10.3.15E+05,315466.1173,575364870.0100497
maxfreq=22kHz,rf,index=11.3.69E+05,368978.105,1030722747.4289956
maxfreq=22kHz,rf,index=12.4.27E+05,427276.195,-56759060.30260742
maxfreq=22kHz,rf,index=13.4.89E+05,489453.9981,322155636.6815138
maxfreq=22kHz,rf,index=14.5.54E+05,554196.3218,117170338.50542635
maxfreq=22kHz,rf,index=15.6.24E+05,624442.5514,30881277.72554841
maxfreq=22kHz,rf,index=16.6.98E+05,698421.296,-57729073.94887495
maxfreq=22kHz,rf,index=17.7.77E+05,776647.2223,1275272517.2309694
maxfreq=22kHz,rf,index=18.8.59E+05,859343.9142,-6167284.5328502655
maxfreq=22kHz,rf,index=2.2.36E+03,2355.33535,-6598846104.050907
maxfreq=22kHz,rf,index=3.2.10E+04,20979.71604,-2476817553.850848
maxfreq=22kHz,rf,index=4.5.76E+04,57593.31665,-349616208.1084552
maxfreq=22kHz,rf,index=5.1.11E+05,111264.7017,-350021066.9154844
maxfreq=22kHz,rf,index=6.1.44E+05,144324.2618,1389169749.7538877
maxfreq=22kHz,rf,index=7.1.81E+05,181378.003,5666817701.979332
maxfreq=22kHz,rf,index=8.2.22E+05,221505.1102,4395433415.955753
maxfreq=22kHz,rf,index=9.2.67E+05,266907.6965,-843946954.406103
maxfreq=22kHz,cnntf_v2_gap,index=1.3.28E-04,0.0003280469999999,25908417753.103947
maxfreq=22kHz,cnntf_v2_gap,index=10.3.15E+05,315466.1173,-816173278.7569122
maxfreq=22kHz,cnntf_v2_gap,index=11.3.69E+05,368978.105,-274014076.13570267
maxfreq=22kHz,cnntf_v2_gap,index=12.4.27E+05,427276.195,-76040470.53749979
maxfreq=22kHz,cnntf_v2_gap,index=13.4.89E+05,489453.9981,-21134599.818187475
maxfreq=22kHz,cnntf_v2_gap,index=14.5.54E+05,554196.3218,-222111163.9295496
maxfreq=22kHz,cnntf_v2_gap,index=15.6.24E+05,624442.5514,-36118253.1311766
maxfreq=22kHz,cnntf_v2_gap,index=16.6.98E+05,698421.296,-1937635727.2804
maxfreq=22kHz,cnntf_v2_gap,index=17.7.77E+05,776647.2223,-367911032.6854884
maxfreq=22kHz,cnntf_v2_gap,index=18.8.59E+05,859343.9142,-433770266.680495
maxfreq=22kHz,cnntf_v2_gap,index=2.2.36E+03,2355.33535,-2653239329.4794793
maxfreq=22kHz,cnntf_v2_gap,index=3.2.10E+04,20979.71604,-18609833772.700356
maxfreq=22kHz,cnntf_v2_gap,index=4.5.76E+04,57593.31665,-2006259689.995946
maxfreq=22kHz,cnntf_v2_gap,index=5.1.11E+05,111264.7017,-566042995.9352163
maxfreq=22kHz,cnntf_v2_gap,index=6.1.44E+05,144324.2618,1665570285.0674756
maxfreq=22kHz,cnntf_v2_gap,index=7.1.81E+05,181378.003,2158951232.759889
maxfreq=22kHz,cnntf_v2_gap,index=8.2.22E+05,221505.1102,-9495208294.466166
maxfreq=22kHz,cnntf_v2_gap,index=9.2.67E+05,266907.6965,929562420.9094068
maxfreq=22kHz,alexnet,index=1.3.28E-04,0.0003280469999999,19347151395.564632
maxfreq=22kHz,alexnet,index=10.3.15E+05,315466.1173,1362036441.0578942
maxfreq=22kHz,alexnet,index=11.3.69E+05,368978.105,-1637037310.7339346
maxfreq=22kHz,alexnet,index=12.4.27E+05,427276.195,1310281262.8852837
maxfreq=22kHz,alexnet,index=13.4.89E+05,489453.9981,-875265936.84645
maxfreq=22kHz,alexnet,index=14.5.54E+05,554196.3218,907454230.6755109
maxfreq=22kHz,alexnet,index=15.6.24E+05,624442.5514,4983207164.103569
maxfreq=22kHz,alexnet,index=16.6.98E+05,698421.296,-171183710.91187474
maxfreq=22kHz,alexnet,index=17.7.77E+05,776647.2223,983613322.9266052
maxfreq=22kHz,alexnet,index=18.8.59E+05,859343.9142,13427445887.394032
maxfreq=22kHz,alexnet,index=2.2.36E+03,2355.33535,-16155368796.824738
maxfreq=22kHz,alexnet,index=3.2.10E+04,20979.71604,-5216311283.419287
maxfreq=22kHz,alexnet,index=4.5.76E+04,57593.31665,-1428698705.6391041
maxfreq=22kHz,alexnet,index=5.1.11E+05,111264.7017,-242336929.92441148
