frequency,snr,unit,left,right,residual_pearson,same_sign_fraction
maxfreq=22kHz,no_noise,chunk,rf,cnntf_v2_gap,0.7635413996284712,0.6796296296296296
maxfreq=22kHz,no_noise,chunk,rf,alexnet,0.6772801411603596,0.6898148148148148
maxfreq=22kHz,no_noise,chunk,cnntf_v2_gap,alexnet,0.8675792094153841,0.7712962962962963
maxfreq=22kHz,no_noise,wav_median,rf,cnntf_v2_gap,0.82167314773142,0.6666666666666666
maxfreq=22kHz,no_noise,wav_median,rf,alexnet,0.6935993630290112,0.7222222222222222
maxfreq=22kHz,no_noise,wav_median,cnntf_v2_gap,alexnet,0.9146255256674637,0.8333333333333334
maxfreq=22kHz,-20,chunk,rf,cnntf_v2_gap,0.7451769229949413,0.7268518518518519
maxfreq=22kHz,-20,chunk,rf,alexnet,0.8232957059773837,0.7805555555555556
maxfreq=22kHz,-20,chunk,cnntf_v2_gap,alexnet,0.8084584160471542,0.7074074074074074
maxfreq=22kHz,-20,wav_median,rf,cnntf_v2_gap,0.7960056637823231,0.6111111111111112
maxfreq=22kHz,-20,wav_median,rf,alexnet,0.8562239451810071,0.8333333333333334
maxfreq=22kHz,-20,wav_median,cnntf_v2_gap,alexnet,0.8829465763232672,0.6666666666666666
maxfreq=22kHz,0,chunk,rf,cnntf_v2_gap,0.7372060489680489,0.7333333333333333
maxfreq=22kHz,0,chunk,rf,alexnet,0.7650713536270554,0.6805555555555556
maxfreq=22kHz,0,chunk,cnntf_v2_gap,alexnet,0.8894647266856586,0.675
maxfreq=22kHz,0,wav_median,rf,cnntf_v2_gap,0.7496552321012394,0.6666666666666666
maxfreq=22kHz,0,wav_median,rf,alexnet,0.7673074214163643,0.7222222222222222
maxfreq=22kHz,0,wav_median,cnntf_v2_gap,alexnet,0.9351977324115277,0.6111111111111112
maxfreq=3kHz,no_noise,chunk,rf,cnntf_v2_gap,0.8468007392737337,0.7675925925925926
maxfreq=3kHz,no_noise,chunk,rf,alexnet,0.8099734083805892,0.7537037037037037
maxfreq=3kHz,no_noise,chunk,cnntf_v2_gap,alexnet,0.8920441783889761,0.799074074074074
maxfreq=3kHz,no_noise,wav_median,rf,cnntf_v2_gap,0.9106915187673756,0.8333333333333334
maxfreq=3kHz,no_noise,wav_median,rf,alexnet,0.7945720880083267,0.7222222222222222
maxfreq=3kHz,no_noise,wav_median,cnntf_v2_gap,alexnet,0.9193985120242859,0.8888888888888888
maxfreq=3kHz,-20,chunk,rf,cnntf_v2_gap,0.840153899871735,0.7425925925925926
maxfreq=3kHz,-20,chunk,rf,alexnet,0.8490819423413656,0.7564814814814815
maxfreq=3kHz,-20,chunk,cnntf_v2_gap,alexnet,0.8630921030911948,0.7324074074074074
maxfreq=3kHz,-20,wav_median,rf,cnntf_v2_gap,0.8537905485185682,0.6111111111111112
maxfreq=3kHz,-20,wav_median,rf,alexnet,0.8496479498806754,0.7777777777777778
maxfreq=3kHz,-20,wav_median,cnntf_v2_gap,alexnet,0.9218413935061261,0.7222222222222222
maxfreq=3kHz,0,chunk,rf,cnntf_v2_gap,0.8297798771896359,0.7361111111111112
maxfreq=3kHz,0,chunk,rf,alexnet,0.7671551235666599,0.7148148148148148
maxfreq=3kHz,0,chunk,cnntf_v2_gap,alexnet,0.8851705784315598,0.8064814814814815
maxfreq=3kHz,0,wav_median,rf,cnntf_v2_gap,0.8831926180436892,0.7777777777777778
maxfreq=3kHz,0,wav_median,rf,alexnet,0.7488942776017229,0.6666666666666666
maxfreq=3kHz,0,wav_median,cnntf_v2_gap,alexnet,0.911430191325792,0.8888888888888888
