snr,model,region,chunks,wavs,sse_w_m2_squared,rmse_kw_m2,mean_residual_kw_m2
no_noise,randomforest,below_onb,480,8,3635159054113.4688,87.02441053752138,-27.51384047723925
no_noise,randomforest,above_onb,540,9,6290281944897.151,107.9290056858121,-80.34664225734886
no_noise,randomforest,near_onb,60,1,2081773120743.9424,186.26921022827605,-173.5282347901041
no_noise,conformer,below_onb,480,8,3276919614861.306,82.6251527338642,-8.412195185084345
no_noise,conformer,above_onb,540,9,2138374318599.4602,62.92815301477433,-8.111396879745351
no_noise,conformer,near_onb,60,1,1215848970033.9958,142.3522023031839,-124.41597964687486
no_noise,alexnet,below_onb,480,8,4442860308850.067,96.20789456573183,52.908705909479146
no_noise,alexnet,above_onb,540,9,3301422595660.2666,78.1904440933738,13.772157156712911
no_noise,alexnet,near_onb,60,1,858705946233.2783,119.63179247405196,-106.99697053229153
no_noise,ensemble__inner_holdout,below_onb,480,8,3055925950503.959,79.79042797781729,5.374462639591532
no_noise,ensemble__inner_holdout,above_onb,540,9,2287826669852.227,65.09006110983383,-14.7994396385474
no_noise,ensemble__inner_holdout,near_onb,60,1,1192426437081.8367,140.97437338525023,-128.25152700687443
no_noise,equal_offline,below_onb,480,8,3032838167303.4243,79.48844474858468,5.660890082385358
no_noise,equal_offline,above_onb,540,9,2513509457487.13,68.22497448511567,-24.895293993460648
no_noise,equal_offline,near_onb,60,1,1279584454511.4236,146.03563803123672,-134.98039498975697
-8,randomforest,below_onb,480,8,3379936242027.461,83.91384771035833,-9.515640517929434
-8,randomforest,above_onb,540,9,6039977118439.802,105.7598355328031,-79.47812308055494
-8,randomforest,near_onb,60,1,1978039226950.4226,181.56905146300045,-169.29544702968747
-8,conformer,below_onb,480,8,35709805613648.42,272.7552535915074,259.87311147588787
-8,conformer,above_onb,540,9,1729493843610.4758,56.59298876235851,38.43835828518504
-8,conformer,near_onb,60,1,461200233272.4594,87.67365941114235,84.70709704583346
-8,alexnet,below_onb,480,8,17775034518719.406,192.43524083181532,172.985086866512
-8,alexnet,above_onb,540,9,1241953682126.0332,47.95742097068316,-9.014542322453604
-8,alexnet,near_onb,60,1,14918512895.029438,15.768382338839452,-1.175498787500011
-8,ensemble__inner_holdout,below_onb,480,8,20170610481086.605,204.9929393148223,187.73429931323574
-8,ensemble__inner_holdout,above_onb,540,9,839055407220.4393,39.418349910510976,4.22318205313169
-8,ensemble__inner_holdout,near_onb,60,1,30532049731.69165,22.558091575490028,15.580090324607918
-8,equal_offline,below_onb,480,8,12814074649603.324,163.38907201321715,141.11418594148924
-8,equal_offline,above_onb,540,9,1051570862026.5217,44.12882785886413,-16.684769039274666
-8,equal_offline,near_onb,60,1,81228327764.35497,36.7940954874454,-28.587949590451394
-16,randomforest,below_onb,480,8,3204298409826.761,81.70447776676066,6.244170932265625
-16,randomforest,above_onb,540,9,5572108764790.185,101.58110028345153,-77.02572266099489
-16,randomforest,near_onb,60,1,1601573967545.821,163.37961763664714,-150.6695241781249
-16,conformer,below_onb,480,8,92168585611088.47,438.198455827685,429.68425691859267
-16,conformer,above_onb,540,9,6170082583235.784,106.89283819715915,94.62384277592676
-16,conformer,near_onb,60,1,3815387946591.51,252.17017886708672,249.9740381916664
-16,alexnet,below_onb,480,8,20705894752676.555,207.69516300275944,190.95827094854366
-16,alexnet,above_onb,540,9,1622958036110.3008,54.8222385957442,-49.818988155786876
-16,alexnet,near_onb,60,1,29446530358.69811,22.15345359031638,17.839586889583323
-16,ensemble__inner_holdout,below_onb,480,8,43007555335477.55,299.3310435213465,287.67988629296406
-16,ensemble__inner_holdout,above_onb,540,9,887231148665.7054,40.53419106972819,23.70698497073568
-16,ensemble__inner_holdout,near_onb,60,1,798195469103.4904,115.33974951590413,113.86106604430798
-16,equal_offline,below_onb,480,8,24163966718304.773,224.3693324182287,208.96223293313403
-16,equal_offline,above_onb,540,9,587856083763.0796,32.99427794844185,-10.740289346952164
-16,equal_offline,near_onb,60,1,119160121302.87914,44.564582593295455,39.04803363437498
-20,randomforest,below_onb,480,8,5162766695514.837,103.70999927195662,33.995908334609325
-20,randomforest,above_onb,540,9,5158298871166.071,97.73640732589983,-74.28442533749957
-20,randomforest,near_onb,60,1,1182821088773.6655,140.4054301403419,-110.99020425624987
-20,conformer,below_onb,480,8,134660746905350.61,529.663310716799,522.6432190279662
-20,conformer,above_onb,540,9,12876188857589.316,154.4175967327589,134.25684647963067
-20,conformer,near_onb,60,1,7095567298591.928,343.8887247010756,342.2946527749997
-20,alexnet,below_onb,480,8,28207238205279.902,242.4150977029548,228.12458426234613
-20,alexnet,above_onb,540,9,2593272383060.0586,69.29903509375895,-58.4765989486112
-20,alexnet,near_onb,60,1,178547451377.84616,54.55080985922607,52.693714754166734
-20,ensemble__inner_holdout,below_onb,480,8,63368273216216.53,363.3417617988851,353.4406052332353
-20,ensemble__inner_holdout,above_onb,540,9,2519141196362.889,68.30136374598172,43.267486699303056
-20,ensemble__inner_holdout,near_onb,60,1,2000500601911.004,182.5970336520195,180.744334363466
-20,equal_offline,below_onb,480,8,36308000208430.13,275.03030215031964,261.5879038749748
-20,equal_offline,above_onb,540,9,1052685376943.5604,44.152206793209075,0.49860739783947955
-20,equal_offline,near_onb,60,1,604049356703.5948,100.33687895481526,94.66605442430557
