seed,model,source_wav_id,y_true_w_m2,region,chunks,sse_reduction_w_m2_squared
42,randomforest,index=1.0,-1.42e-06,below_onb,60,-41690618176.36801
42,randomforest,index=10.322114,322114.2428,above_onb,60,-2574297895.9384537
42,randomforest,index=11.376320,376320.1201,above_onb,60,-81395003971.68246
42,randomforest,index=12.434018,434018.0833,above_onb,60,-3563533269.6814513
42,randomforest,index=13.496023,496023.3525,above_onb,60,-1375024697.171717
42,randomforest,index=14.562158,562158.7854,above_onb,60,1282834004.4234776
42,randomforest,index=15.633482,633482.536,above_onb,60,-5370444304.848654
42,randomforest,index=16.709792,709792.7143,above_onb,60,6593157930.787345
42,randomforest,index=17.789500,789500.1968,above_onb,60,-2456102316.635743
42,randomforest,index=18.873637,873637.0359,above_onb,60,-3299264760.767044
42,randomforest,index=2.2380,2380.025286,below_onb,60,15100148160.362858
42,randomforest,index=3.21242,21242.86319,below_onb,60,-20992331861.37804
42,randomforest,index=4.58389,58389.85471,below_onb,60,-2770217964.9149103
42,randomforest,index=5.113188,113188.2901,below_onb,60,1061988660.4912554
42,randomforest,index=6.146381,146381.6505,below_onb,60,41967735690.98404
42,randomforest,index=7.184190,184190.9699,below_onb,60,51639292482.72426
42,randomforest,index=8.225704,225704.9618,below_onb,60,80389405196.43723
42,randomforest,index=9.271677,271677.6816,near_onb,60,-130942523379.9553
42,conformer,index=1.0,-1.42e-06,below_onb,60,188556527293.19608
42,conformer,index=10.322114,322114.2428,above_onb,60,91489675837.29977
42,conformer,index=11.376320,376320.1201,above_onb,60,-78769139426.48541
42,conformer,index=12.434018,434018.0833,above_onb,60,-9124801716.160604
42,conformer,index=13.496023,496023.3525,above_onb,60,316794331.70138335
42,conformer,index=14.562158,562158.7854,above_onb,60,95227278250.86006
42,conformer,index=15.633482,633482.536,above_onb,60,177728351621.88358
42,conformer,index=16.709792,709792.7143,above_onb,60,189708979391.42667
42,conformer,index=17.789500,789500.1968,above_onb,60,66815304297.05613
42,conformer,index=18.873637,873637.0359,above_onb,60,-118638876331.34953
42,conformer,index=2.2380,2380.025286,below_onb,60,-130756202490.53003
42,conformer,index=3.21242,21242.86319,below_onb,60,-54484583929.86097
