seed,snr,model,fit_role,epoch,training_loss
42,-8,Conformer,inner_weight_fit,10,0.0122687
42,-8,Conformer,inner_weight_fit,20,0.0116015
42,-8,Conformer,inner_weight_fit,30,0.00747768
42,-8,Conformer,inner_weight_fit,40,0.00557605
42,-8,Conformer,inner_weight_fit,50,0.00453198
42,-8,Conformer,inner_weight_fit,60,0.00408149
42,-8,Conformer,inner_weight_fit,70,0.00367045
42,-8,Conformer,inner_weight_fit,80,0.00237306
42,-8,Conformer,inner_weight_fit,90,0.00194347
42,-8,Conformer,inner_weight_fit,100,0.00165082
42,-8,Conformer,inner_weight_fit,110,0.00134357
42,-8,Conformer,inner_weight_fit,120,0.00110006
42,-8,Conformer,inner_weight_fit,130,0.00111029
42,-8,Conformer,inner_weight_fit,140,0.00133968
42,-8,Conformer,inner_weight_fit,150,0.000995458
42,-8,Conformer,inner_weight_fit,160,0.000769443
42,-8,Conformer,inner_weight_fit,170,0.000762292
42,-8,Conformer,inner_weight_fit,180,0.000699033
42,-8,Conformer,inner_weight_fit,190,0.000754829
42,-8,Conformer,inner_weight_fit,200,0.00074547
42,-8,Conformer,full_training,10,0.0106966
42,-8,Conformer,full_training,20,0.00668526
42,-8,Conformer,full_training,30,0.00488131
42,-8,Conformer,full_training,40,0.00471737
42,-8,Conformer,full_training,50,0.00364132
42,-8,Conformer,full_training,60,0.0024879
42,-8,Conformer,full_training,70,0.00184653
42,-8,Conformer,full_training,80,0.00134803
42,-8,Conformer,full_training,90,0.00148083
42,-8,Conformer,full_training,100,0.00102065
42,-8,Conformer,full_training,110,0.00100353
42,-8,Conformer,full_training,120,0.000982915
42,-8,Conformer,full_training,130,0.00077219
42,-8,Conformer,full_training,140,0.00074801
42,-8,Conformer,full_training,150,0.000724256
42,-8,Conformer,full_training,160,0.000722616
42,-8,Conformer,full_training,170,0.000618554
42,-8,Conformer,full_training,180,0.000558433
42,-8,Conformer,full_training,190,0.000515166
42,-8,Conformer,full_training,200,0.000632613
42,-16,Conformer,inner_weight_fit,10,0.0125121
42,-16,Conformer,inner_weight_fit,20,0.0105053
42,-16,Conformer,inner_weight_fit,30,0.00775987
42,-16,Conformer,inner_weight_fit,40,0.0081114
42,-16,Conformer,inner_weight_fit,50,0.00730425
42,-16,Conformer,inner_weight_fit,60,0.00572792
42,-16,Conformer,inner_weight_fit,70,0.00565445
42,-16,Conformer,inner_weight_fit,80,0.00511753
42,-16,Conformer,inner_weight_fit,90,0.0031495
42,-16,Conformer,inner_weight_fit,100,0.00251236
42,-16,Conformer,inner_weight_fit,110,0.00284048
42,-16,Conformer,inner_weight_fit,120,0.00176083
42,-16,Conformer,inner_weight_fit,130,0.0025673
42,-16,Conformer,inner_weight_fit,140,0.00186712
42,-16,Conformer,inner_weight_fit,150,0.00086149
42,-16,Conformer,inner_weight_fit,160,0.00121251
42,-16,Conformer,inner_weight_fit,170,0.000763822
42,-16,Conformer,inner_weight_fit,180,0.000588391
42,-16,Conformer,inner_weight_fit,190,0.000788034
42,-16,Conformer,inner_weight_fit,200,0.000591255
42,-16,Conformer,full_training,10,0.00976542
42,-16,Conformer,full_training,20,0.00722823
42,-16,Conformer,full_training,30,0.00564476
42,-16,Conformer,full_training,40,0.00501141
42,-16,Conformer,full_training,50,0.00411223
42,-16,Conformer,full_training,60,0.00335141
42,-16,Conformer,full_training,70,0.0031204
42,-16,Conformer,full_training,80,0.00264537
42,-16,Conformer,full_training,90,0.00246826
42,-16,Conformer,full_training,100,0.00228705
42,-16,Conformer,full_training,110,0.00144942
42,-16,Conformer,full_training,120,0.001276
42,-16,Conformer,full_training,130,0.00110263
42,-16,Conformer,full_training,140,0.00113194
42,-16,Conformer,full_training,150,0.000868039
42,-16,Conformer,full_training,160,0.0010428
42,-16,Conformer,full_training,170,0.000734384
42,-16,Conformer,full_training,180,0.000601141
42,-16,Conformer,full_training,190,0.000914303
42,-16,Conformer,full_training,200,0.000546044
42,-8,AlexNet,inner_weight_fit,10,0.0148827
42,-8,AlexNet,inner_weight_fit,20,0.00932398
42,-8,AlexNet,inner_weight_fit,30,0.00773753
42,-8,AlexNet,inner_weight_fit,40,0.00609662
42,-8,AlexNet,inner_weight_fit,50,0.00612894
42,-8,AlexNet,inner_weight_fit,60,0.00369071
42,-8,AlexNet,inner_weight_fit,70,0.00295333
42,-8,AlexNet,inner_weight_fit,80,0.00203664
42,-8,AlexNet,inner_weight_fit,90,0.00179313
42,-8,AlexNet,inner_weight_fit,100,0.00140708
42,-8,AlexNet,inner_weight_fit,110,0.00126607
42,-8,AlexNet,inner_weight_fit,120,0.00127524
42,-8,AlexNet,inner_weight_fit,130,0.00109863
42,-8,AlexNet,inner_weight_fit,140,0.00115377
42,-8,AlexNet,inner_weight_fit,150,0.000950688
42,-8,AlexNet,inner_weight_fit,160,0.000934084
42,-8,AlexNet,inner_weight_fit,170,0.000803768
42,-8,AlexNet,inner_weight_fit,180,0.000875591
42,-8,AlexNet,inner_weight_fit,190,0.000899446
42,-8,AlexNet,inner_weight_fit,200,0.00077364
42,-8,AlexNet,full_training,10,0.00898364
42,-8,AlexNet,full_training,20,0.00593981
42,-8,AlexNet,full_training,30,0.00486089
