snr,experiment_name,source_wav_id,chunk_index,y_true_w_m2,region,weight_randomforest,weight_conformer,weight_alexnet,weighted_diagonal_w_m2_squared,weighted_cross_w_m2_squared,ensemble_minus_best_single_sse_w_m2_squared,ensemble_minus_equal_sse_w_m2_squared,prediction_randomforest_w_m2,residual_randomforest_w_m2,sse_randomforest_w_m2_squared,miss_randomforest,false_alarm_randomforest,prediction_conformer_w_m2,residual_conformer_w_m2,sse_conformer_w_m2_squared,miss_conformer,false_alarm_conformer,prediction_alexnet_w_m2,residual_alexnet_w_m2,sse_alexnet_w_m2_squared,miss_alexnet,false_alarm_alexnet,prediction_ensemble__inner_holdout_w_m2,residual_ensemble__inner_holdout_w_m2,sse_ensemble__inner_holdout_w_m2_squared,miss_ensemble__inner_holdout,false_alarm_ensemble__inner_holdout,prediction_equal_offline_w_m2,residual_equal_offline_w_m2,sse_equal_offline_w_m2_squared,miss_equal_offline,false_alarm_equal_offline
no_noise,2025.06.18_0.3_3,index=1.0,0,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,12894350767.841627,6966260565.426344,14961723613.691202,6661069173.853033,69992.0546875,69992.05468892,4898887719.576769,0,0,163529.1875,163529.18750142,26741795164.87458,0,0,111146.5390625,111146.53906392,12353553145.887495,0,0,140927.68121581982,140927.68121723982,19860611333.26797,0,0,114889.26041666667,114889.26041808668,13199542159.414938,0,0
no_noise,2025.06.18_0.3_3,index=1.0,1,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,10276470089.657415,3366364131.4023952,12211723252.123507,6610610438.898425,65933.9453125,65933.94531392,4347285144.658994,0,0,147811.09375,147811.09375142,21848119435.991074,0,0,37830.02734375,37830.02734517,1431110968.9363098,0,0,116802.54372541762,116802.54372683763,13642834221.059816,0,0,83858.35546875,83858.35547017,7032223782.161391,0,0
no_noise,2025.06.18_0.3_3,index=1.0,2,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,13616012774.803865,6154532316.061967,14949159871.192978,7922538366.8381,69436.1953125,69436.19531392,4821385219.672847,0,0,169127.484375,169127.48437642,28604105971.496193,0,0,87981.96875,87981.96875142,7740826825.375846,0,0,140607.7703772679,140607.7703786879,19770545090.865826,0,0,108848.54947916667,108848.54948058668,11848006724.027725,0,0
no_noise,2025.06.18_0.3_3,index=1.0,3,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,11084910627.33028,4835276038.704149,11548473802.82608,6525324658.109243,66118.9296875,66118.92968892,4371712863.208347,0,0,152780.546875,152780.54687642,23341895503.85797,0,0,71881.8125,71881.81250142,5166994968.489302,0,0,126175.22207500206,126175.22207642207,15920186666.034428,0,0,96927.09635416667,96927.09635558668,9394862007.925184,0,0
no_noise,2025.06.18_0.3_3,index=1.0,4,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,12176579415.147028,7088188383.850242,14706220399.899033,5867826603.331644,67517.015625,67517.01562642,4558547399.098243,0,0,158281.0,158281.00000142,25052874961.44952,0,0,121437.453125,121437.45312642,14747055021.831455,0,0,138797.57850410463,138797.57850552464,19264767798.997276,0,0,115745.15625,115745.15625142,13396941195.665632,0,0
no_noise,2025.06.18_0.3_3,index=1.0,5,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,3990872250.8881407,2223122455.064371,4555567710.229862,1806526850.3276005,67420.34375,67420.34375142,4545502751.559639,0,0,91022.15625,91022.15625142,8285032928.657918,0,0,40723.7890625,40723.78906392,1658426995.72265,0,0,78828.8951192939,78828.8951207139,6213994705.952512,0,0,66388.76302083333,66388.76302225333,4407467855.624911,0,0
no_noise,2025.06.18_0.3_3,index=1.0,6,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,8471286911.64813,5115407283.118698,8981786695.541882,3837456809.7788296,67859.46875,67859.46875142,4604907499.224948,0,0,132024.046875,132024.04687642,17430348953.627148,0,0,96331.1640625,96331.16406392,9279693169.909872,0,0,116561.97576583794,116561.97576725794,13586694194.766829,0,0,98738.2265625,98738.22656392,9749237384.987999,0,0
no_noise,2025.06.18_0.3_3,index=1.0,7,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,4420913681.009485,2254050731.17639,5208542951.219638,2195742477.308194,66414.1875,66414.18750142,4410844301.473773,0,0,96072.8984375,96072.89843892,9230001814.455038,0,0,38293.8828125,38293.88281392,1466421460.9662373,0,0,81700.45539624516,81700.45539766517,6674964412.185875,0,0,66926.98958333333,66926.98958475333,4479221934.877681,0,0
no_noise,2025.06.18_0.3_3,index=1.0,8,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,7334720713.250064,3554572821.713785,7256043204.372114,4032127161.207755,60276.44921875,60276.44922017,3633250330.5917325,0,0,123958.90625,123958.90625142,15365810439.048334,0,0,64188.671875,64188.67187642,4120185597.2587113,0,0,104351.77782226562,104351.77782368562,10889293534.963846,0,0,82808.00911458333,82808.00911600333,6857166373.756091,0,0
no_noise,2025.06.18_0.3_3,index=1.0,9,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,9289597018.533354,4063594931.2740517,9412397652.002151,5423100449.079395,64502.28125,64502.28125142,4160544286.6372876,0,0,139875.15625,139875.15625142,19565059336.35916,0,0,62775.74609375,62775.74609517,3940794297.805251,0,0,115556.01217366071,115556.01217508072,13353191949.807402,0,0,89051.06119791667,89051.06119933668,7930091500.728006,0,0
