before,after,model,source_wav_id,y_true_w_m2,region,chunks,sse_before,sse_after,sse_reduction_w_m2_squared
-8,-16,randomforest,index=1.0,-1.42e-06,below_onb,60,291111090249.2786,332801708425.64655,-41690618176.36792
-8,-16,conformer,index=1.0,-1.42e-06,below_onb,60,117139059132.50264,509079370999.8346,-391940311867.332
-8,-16,alexnet,index=1.0,-1.42e-06,below_onb,60,529711459318.1411,65652904478.00352,464058554840.1376
-8,-16,ensemble__inner_holdout,index=1.0,-1.42e-06,below_onb,60,213649512546.98715,316511333913.82056,-102861821366.8334
-8,-16,equal_offline,index=1.0,-1.42e-06,below_onb,60,263085010343.8994,238172767429.60736,24912242914.292053
-8,-16,randomforest,index=10.322114,322114.2428,above_onb,60,2382052554866.3457,2384626852762.284,-2574297895.9384766
-8,-16,conformer,index=10.322114,322114.2428,above_onb,60,3699059574604.408,2188040801948.5662,1511018772655.842
-8,-16,alexnet,index=10.322114,322114.2428,above_onb,60,3429258167561.838,3620098722275.9565,-190840554714.11865
-8,-16,ensemble__inner_holdout,index=10.322114,322114.2428,above_onb,60,3275235762566.711,2472169171200.993,803066591365.7178
-8,-16,equal_offline,index=10.322114,322114.2428,above_onb,60,3091460058605.1445,2648297531255.106,443162527350.0386
-8,-16,randomforest,index=11.376320,376320.1201,above_onb,60,544277502451.29913,625672506422.9817,-81395003971.68256
-8,-16,conformer,index=11.376320,376320.1201,above_onb,60,862452748724.7799,450703016354.2584,411749732370.5215
-8,-16,alexnet,index=11.376320,376320.1201,above_onb,60,807552522870.0387,835338599863.9752,-27786076993.936523
-8,-16,ensemble__inner_holdout,index=11.376320,376320.1201,above_onb,60,735666388855.3394,524857986465.2964,210808402390.04297
-8,-16,equal_offline,index=11.376320,376320.1201,above_onb,60,691313512062.8889,582554412687.123,108759099375.76587
-8,-16,randomforest,index=12.434018,434018.0833,above_onb,60,178923185522.32193,182486718792.00342,-3563533269.681488
-8,-16,conformer,index=12.434018,434018.0833,above_onb,60,92042069915.9314,32841184610.343372,59200885305.58803
-8,-16,alexnet,index=12.434018,434018.0833,above_onb,60,258167720024.35968,162965748159.70987,95201971864.64981
-8,-16,ensemble__inner_holdout,index=12.434018,434018.0833,above_onb,60,132327101328.44531,65482771629.49056,66844329698.95475
-8,-16,equal_offline,index=12.434018,434018.0833,above_onb,60,151518158833.44135,94931607157.16733,56586551676.27402
