snr,region,model,chunks,wavs,sse_w_m2_squared,rmse_kw_m2,mean_residual_kw_m2,misses,false_alarms
-8,above_onb,alexnet,540,9,5632863568496.807,102.13338744284184,-70.17639123014972,70,0
-8,above_onb,conformer,540,9,5094677463413.033,97.13180681532347,-29.96186774523474,64,0
-8,above_onb,ensemble__inner_holdout,540,9,4731355188055.265,93.60432076976473,-51.303703776543955,67,0
-8,above_onb,equal_offline,540,9,4849970215816.744,94.77038738755141,-59.64161671588862,64,0
-8,above_onb,randomforest,540,9,5968931257625.237,105.1359900462715,-78.78659117227953,50,0
-8,below_onb,alexnet,480,8,6769264635044.67,118.75451425669284,-50.63722673860728,0,0
-8,below_onb,conformer,480,8,8782070875369.147,135.26263708190962,-92.42689065349433,0,0
-8,below_onb,ensemble__inner_holdout,480,8,6467643860359.567,116.07867178089077,-65.7344858694028,0,0
-8,below_onb,equal_offline,480,8,5671225857289.962,108.69707387668763,-54.613264444945,0,0
-8,below_onb,randomforest,480,8,3440596658627.4517,84.66350870046585,-20.775675942734072,0,2
-8,near_onb,alexnet,60,1,2750470752126.4453,214.10553286196838,-201.70384858404955,60,0
-8,near_onb,conformer,60,1,3244786535846.7515,232.5505871793186,-218.2114144313193,58,0
-8,near_onb,ensemble__inner_holdout,60,1,2726722880859.6245,213.17922353658295,-199.81232442089188,58,0
-8,near_onb,equal_offline,60,1,2512350526731.114,204.62773218420784,-191.14473127803956,58,0
-8,near_onb,randomforest,60,1,1810871282318.2178,173.72733820166866,-153.5189308187499,55,0
no_noise,above_onb,alexnet,540,9,4071405487570.273,86.83109922024944,30.728753771296123,62,0
no_noise,above_onb,conformer,540,9,2507440426056.454,68.14255789446739,23.716222376620244,46,0
no_noise,above_onb,ensemble__inner_holdout,540,9,2300503521385.207,65.27014406502335,9.999140065801123,49,0
no_noise,above_onb,equal_offline,540,9,2381147588721.079,66.40431139395771,-8.6338887031443,51,0
no_noise,above_onb,randomforest,540,9,6290281944897.151,107.9290056858121,-80.34664225734886,48,0
no_noise,below_onb,alexnet,480,8,3298741154559.418,82.89980340949018,12.791657862604309,0,0
no_noise,below_onb,conformer,480,8,5106967813958.613,103.1480309025841,42.11297776006509,0,1
no_noise,below_onb,ensemble__inner_holdout,480,8,4062296057837.96,91.99519980500297,26.981697056939872,0,0
no_noise,below_onb,equal_offline,480,8,3333798401501.114,83.33914648267437,9.130265048477016,0,0
no_noise,below_onb,randomforest,480,8,3635159054113.4688,87.02441053752138,-27.51384047723925,0,2
no_noise,near_onb,alexnet,60,1,1355551058559.5144,150.308075773255,-138.39000601406235,59,0
no_noise,near_onb,conformer,60,1,508300952754.42487,92.04174349667156,-70.94332626145824,49,0
no_noise,near_onb,ensemble__inner_holdout,60,1,750127900407.6893,111.81293160212503,-97.48086600055775,55,0
no_noise,near_onb,equal_offline,60,1,1151080505572.6067,138.5087545712428,-127.62052235520841,57,0
no_noise,near_onb,randomforest,60,1,2081773120743.9424,186.26921022827605,-173.5282347901041,55,0
