selection,snr,experiment_name,source_wav_id,chunk_index,y_true_w_m2,region,weight_randomforest,weight_conformer,weight_alexnet,weighted_diagonal_w_m2_squared,weighted_cross_w_m2_squared,ensemble_minus_best_single_sse_w_m2_squared,ensemble_minus_equal_sse_w_m2_squared,prediction_randomforest_w_m2,residual_randomforest_w_m2,sse_randomforest_w_m2_squared,miss_randomforest,false_alarm_randomforest,prediction_conformer_w_m2,residual_conformer_w_m2,sse_conformer_w_m2_squared,miss_conformer,false_alarm_conformer,prediction_alexnet_w_m2,residual_alexnet_w_m2,sse_alexnet_w_m2_squared,miss_alexnet,false_alarm_alexnet,prediction_ensemble__inner_holdout_w_m2,residual_ensemble__inner_holdout_w_m2,sse_ensemble__inner_holdout_w_m2_squared,miss_ensemble__inner_holdout,false_alarm_ensemble__inner_holdout,prediction_equal_offline_w_m2,residual_equal_offline_w_m2,sse_equal_offline_w_m2_squared,miss_equal_offline,false_alarm_equal_offline
ensemble_best_vs_all_singles,no_noise,2025.06.18_0.3_3,index=1.0,40,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,3611041690.4518776,2323376865.069996,3291962200.815093,1367668724.039256,65218.5,65218.50000142,4253452742.4352202,0,0,86109.8671875,86109.86718892,7414909227.293442,0,0,51404.828125,51404.82812642,2642456354.7067804,0,0,77035.17738866506,77035.17739008507,5934418555.521873,0,0,67577.73177083333,67577.73177225333,4566749831.482617,0,0
ensemble_worst_vs_best_single,no_noise,2025.06.18_0.3_3,index=1.0,54,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,24144088004.096893,10867191791.648815,31656310398.681046,14482388178.847054,57922.09765625,57922.09765767,3354969397.06466,0,0,224554.5,224554.50000142,50424723470.88773,0,0,147360.609375,147360.60937642,21715149195.789845,0,0,187113.01343095917,187113.01343237917,35011279795.745705,0,0,143279.06901041666,143279.06901183666,20528891616.89865,0,0
ensemble_best_vs_all_singles,no_noise,2025.06.18_0.3_3,index=10.322114,24,322114.2428,above_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,1201953444.8787565,6992108.451163411,-958884466.2075596,889097363.56113,379540.1875,57425.94469999999,3297739124.687457,0,0,275554.28125,-46559.96155000001,2167830019.537479,0,0,257595.359375,-64518.88342500001,4162686318.4087405,1,0,287344.34844683984,-34769.89435316017,1208945553.3299193,0,0,304229.9427083333,-17884.300091666693,319848189.7687893,0,0
ensemble_worst_vs_best_single,no_noise,2025.06.18_0.3_3,index=10.322114,9,322114.2428,above_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,19746824383.926594,20169519917.965775,11586028790.628883,-4095574902.0855637,54678.37109375,-267435.87170625,71521945475.28181,1,0,128495.6953125,-193618.5474875,37488141931.1693,1,0,153798.125,-168316.1178,28330315511.26348,1,0,122323.49150782342,-199790.7512921766,39916344301.892365,1,0,112324.06380208333,-209790.1789979167,44011919203.97793,1,0
ensemble_best_vs_all_singles,no_noise,2025.06.18_0.3_3,index=11.376320,25,376320.1201,above_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,897410818.2095511,-132119410.78120685,-947198802.0881319,520403946.0034319,328385.09375,-47935.02635,2297766751.1751943,0,0,334937.875,-41382.2451,1712490209.516474,0,0,418690.75,42370.6299,1795270278.122774,0,0,348656.2193007934,-27663.900799206574,765291407.4283421,0,0,360671.2395833333,-15648.880516666686,244887461.42491022,0,0
ensemble_worst_vs_best_single,no_noise,2025.06.18_0.3_3,index=11.376320,33,376320.1201,above_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,27007858807.780407,28344483602.565628,12467894829.569893,-6792069256.855576,61229.87109375,-315090.24900625,99281865018.82063,1,0,150632.546875,-225687.573225,50934880708.189735,1,0,169234.515625,-207085.604475,42884447580.77614,1,0,141049.33481133304,-235270.78528866696,55352342410.34603,1,0,127032.31119791667,-249287.8089020833,62144411667.20161,1,0
ensemble_best_vs_all_singles,no_noise,2025.06.18_0.3_3,index=12.434018,59,434018.0833,above_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,886833456.1235052,-192822955.65410477,-870635323.1576571,627231469.6501973,369570.28125,-64447.80205,4153519189.075984,0,0,473573.6875,39555.6042,1564645823.6270578,0,0,483425.8125,49407.7292,2441123704.700533,0,0,460362.16234006896,26344.07904006896,694010500.4694006,0,0,442189.9270833333,8171.8437833333155,66779030.819203354,0,0
ensemble_worst_vs_best_single,no_noise,2025.06.18_0.3_3,index=12.434018,58,434018.0833,above_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,3258069235.626629,1147029586.6775358,4292986901.179877,2180620550.019251,444606.375,10588.291700000002,112111921.12428892,0,0,516845.75,82827.6667,6860422370.9662895,0,0,482095.25,48077.1667,2311413957.899589,0,0,500389.00179827126,66370.91849827126,4405098822.304166,0,0,481182.4583333333,47164.375033333316,2224478272.284915,0,0
ensemble_best_vs_all_singles,no_noise,2025.06.18_0.3_3,index=13.496023,15,496023.3525,above_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,905122738.7119246,-27826960.24713409,-758054146.6268121,672501742.8720772,444174.0625,-51849.28999999998,2688348873.504098,0,0,536462.8125,40439.46000000002,1635349925.0916016,0,0,550365.0625,54341.71000000002,2953021445.7241025,0,0,525642.5317334762,29619.17923347623,877295778.4647895,0,0,510333.9791666667,14310.626666666707,204794035.59271225,0,0
ensemble_worst_vs_best_single,no_noise,2025.06.18_0.3_3,index=13.496023,29,496023.3525,above_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,6157797761.877059,2410182888.26773,8274209320.136583,4007993252.78158,478883.59375,-17139.75874999998,293771330.0082008,0,0,607742.5625,111719.21000000002,12481181883.024105,0,0,604026.9375,108003.58500000002,11664774372.85223,0,0,588586.7397011217,92563.38720112172,8567980650.144784,0,0,563551.03125,67527.67875000002,4559987397.363204,0,0
