before,after,model,source_wav_id,region,sse_reduction_w_m2_squared,total_reduction_w_m2_squared,n_wavs_improved,n_wavs_worsened,below_onb_reduction_w_m2_squared,onb_or_above_reduction_w_m2_squared
-8,-16,randomforest,index=1.0,below_onb,-41690618176.368011,-98394800473.131348,7,11,124705402188.338562,-223100202661.470154
-8,-16,randomforest,index=10.322114,onb_or_above,-2574297895.938454,-98394800473.131348,7,11,124705402188.338562,-223100202661.470154
-8,-16,randomforest,index=11.376320,onb_or_above,-81395003971.682465,-98394800473.131348,7,11,124705402188.338562,-223100202661.470154
-8,-16,randomforest,index=12.434018,onb_or_above,-3563533269.681451,-98394800473.131348,7,11,124705402188.338562,-223100202661.470154
-8,-16,randomforest,index=13.496023,onb_or_above,-1375024697.171717,-98394800473.131348,7,11,124705402188.338562,-223100202661.470154
-8,-16,randomforest,index=14.562158,onb_or_above,1282834004.423478,-98394800473.131348,7,11,124705402188.338562,-223100202661.470154
-8,-16,randomforest,index=15.633482,onb_or_above,-5370444304.848654,-98394800473.131348,7,11,124705402188.338562,-223100202661.470154
-8,-16,randomforest,index=16.709792,onb_or_above,6593157930.787345,-98394800473.131348,7,11,124705402188.338562,-223100202661.470154
-8,-16,randomforest,index=17.789500,onb_or_above,-2456102316.635743,-98394800473.131348,7,11,124705402188.338562,-223100202661.470154
-8,-16,randomforest,index=18.873637,onb_or_above,-3299264760.767044,-98394800473.131348,7,11,124705402188.338562,-223100202661.470154
-8,-16,randomforest,index=2.2380,below_onb,15100148160.362858,-98394800473.131348,7,11,124705402188.338562,-223100202661.470154
-8,-16,randomforest,index=3.21242,below_onb,-20992331861.378040,-98394800473.131348,7,11,124705402188.338562,-223100202661.470154
-8,-16,randomforest,index=4.58389,below_onb,-2770217964.914910,-98394800473.131348,7,11,124705402188.338562,-223100202661.470154
-8,-16,randomforest,index=5.113188,below_onb,1061988660.491255,-98394800473.131348,7,11,124705402188.338562,-223100202661.470154
-8,-16,randomforest,index=6.146381,below_onb,41967735690.984039,-98394800473.131348,7,11,124705402188.338562,-223100202661.470154
-8,-16,randomforest,index=7.184190,below_onb,51639292482.724258,-98394800473.131348,7,11,124705402188.338562,-223100202661.470154
-8,-16,randomforest,index=8.225704,below_onb,80389405196.437225,-98394800473.131348,7,11,124705402188.338562,-223100202661.470154
-8,-16,randomforest,index=9.271677,onb_or_above,-130942523379.955307,-98394800473.131348,7,11,124705402188.338562,-223100202661.470154
-8,-16,conformer,index=1.0,below_onb,-391940311867.331970,9029970378700.378906,13,5,5331532025985.989258,3698438352714.383301
-8,-16,conformer,index=10.322114,onb_or_above,1511018772655.842773,9029970378700.378906,13,5,5331532025985.989258,3698438352714.383301
-8,-16,conformer,index=11.376320,onb_or_above,411749732370.521606,9029970378700.378906,13,5,5331532025985.989258,3698438352714.383301
-8,-16,conformer,index=12.434018,onb_or_above,59200885305.587997,9029970378700.378906,13,5,5331532025985.989258,3698438352714.383301
-8,-16,conformer,index=13.496023,onb_or_above,3667255193.742497,9029970378700.378906,13,5,5331532025985.989258,3698438352714.383301
-8,-16,conformer,index=14.562158,onb_or_above,25752695764.285278,9029970378700.378906,13,5,5331532025985.989258,3698438352714.383301
-8,-16,conformer,index=15.633482,onb_or_above,72049014186.172989,9029970378700.378906,13,5,5331532025985.989258,3698438352714.383301
-8,-16,conformer,index=16.709792,onb_or_above,60669048772.337296,9029970378700.378906,13,5,5331532025985.989258,3698438352714.383301
-8,-16,conformer,index=17.789500,onb_or_above,-5430479881.956079,9029970378700.378906,13,5,5331532025985.989258,3698438352714.383301
