seed,model,source_wav_id,y_true_w_m2,region_run_threshold,chunks,sse_reduction_on_minus_off_w_m2_squared
42,randomforest,index=1.0,-1.42e-06,below_onb,60,1889566033846.346
42,randomforest,index=10.322114,322114.2428,above_onb,60,-1749104329064.214
42,randomforest,index=11.376320,376320.1201,above_onb,60,-85356208187.61676
42,randomforest,index=12.434018,434018.0833,above_onb,60,42799973077.88446
42,randomforest,index=13.496023,496023.3525,above_onb,60,11626880450.152384
42,randomforest,index=14.562158,562158.7854,above_onb,60,2204779976.7604146
42,randomforest,index=15.633482,633482.536,above_onb,60,5145462048.989551
42,randomforest,index=16.709792,709792.7143,above_onb,60,38015850279.601845
42,randomforest,index=17.789500,789500.1968,above_onb,60,-19951722680.27259
42,randomforest,index=18.873637,873637.0359,above_onb,60,-41788025389.97226
42,randomforest,index=2.2380,2380.025286,below_onb,60,1481082786014.292
42,randomforest,index=3.21242,21242.86319,below_onb,60,1449396341548.771
42,randomforest,index=4.58389,58389.85471,below_onb,60,895007592631.0859
42,randomforest,index=5.113188,113188.2901,below_onb,60,-20397496689.6887
42,randomforest,index=6.146381,146381.6505,below_onb,60,-140752998622.8787
42,randomforest,index=7.184190,184190.9699,below_onb,60,-307161817758.8746
42,randomforest,index=8.225704,225704.9618,below_onb,60,-1368399570972.2874
42,randomforest,index=9.271677,271677.6816,near_onb,60,-1462581811285.115
42,conformer,index=1.0,-1.42e-06,below_onb,60,291051311173.98114
42,conformer,index=10.322114,322114.2428,above_onb,60,-47368428994.56915
42,conformer,index=11.376320,376320.1201,above_onb,60,-52250569460.38073
42,conformer,index=12.434018,434018.0833,above_onb,60,50272965683.01106
42,conformer,index=13.496023,496023.3525,above_onb,60,-181621482516.06616
42,conformer,index=14.562158,562158.7854,above_onb,60,-440155029759.83185
42,conformer,index=15.633482,633482.536,above_onb,60,-619564980532.1008
42,conformer,index=16.709792,709792.7143,above_onb,60,-528889777363.99146
42,conformer,index=17.789500,789500.1968,above_onb,60,-270361152319.3887
42,conformer,index=18.873637,873637.0359,above_onb,60,-42107130453.53962
42,conformer,index=2.2380,2380.025286,below_onb,60,557264292867.5416
