seed,arm,model,threshold,region,chunks,wavs,sse_w_m2_squared,rmse_kw_m2,mean_residual_kw_m2
42,off,randomforest,run_271677,below_onb,480,8,7513499924110.227,125.11244878866493,55.113582651015975
42,off,randomforest,run_271677,above_onb,540,9,4493874605408.459,91.22494181974393,-72.50424738611069
42,off,randomforest,run_271677,near_onb,60,1,619191309458.8285,101.58668789584166,-83.11412014166656
42,off,randomforest,source_text_376000,below_onb,600,10,9109443126412.924,123.21690310459927,25.427837092270757
42,off,randomforest,source_text_376000,near_onb,60,1,450076018800.39777,86.60985498202055,-71.85777140208329
42,off,randomforest,source_text_376000,above_onb,420,7,3067046693764.193,85.45462028474518,-68.16632641845257
42,off,conformer,run_271677,below_onb,480,8,4785045643206.644,99.84410393214934,43.45961381760088
42,off,conformer,run_271677,above_onb,540,9,2043290428738.4163,61.5131787857724,-16.520722443981512
42,off,conformer,run_271677,near_onb,60,1,860753678095.016,119.77434881858858,-110.00316089687486
42,off,conformer,source_text_376000,below_onb,600,10,6873107528792.824,107.02887093982963,10.957680137518132
42,off,conformer,source_text_376000,near_onb,60,1,337364904964.08527,74.98498793804056,-60.15817088124995
42,off,conformer,source_text_376000,above_onb,420,7,478617316283.1688,33.757444197827674,5.652659593452386
42,off,alexnet,run_271677,below_onb,480,8,4254238654555.452,94.14349258971926,47.11123016891922
42,off,alexnet,run_271677,above_onb,540,9,1987625201484.117,60.66949324129691,-20.433334133796297
42,off,alexnet,run_271677,near_onb,60,1,861382548754.4115,119.81809467928258,-111.81799813645817
42,off,alexnet,source_text_376000,below_onb,600,10,6166695130274.071,101.37960947411196,14.110724103989437
42,off,alexnet,source_text_376000,near_onb,60,1,460775553065.5052,87.63328449334621,-73.22788832916663
42,off,alexnet,source_text_376000,above_onb,420,7,475775721454.4096,33.65708449637629,1.898926185714265
42,off,ensemble__inner_holdout,run_271677,below_onb,480,8,4635659961321.448,98.27321567660073,46.12243505081137
42,off,ensemble__inner_holdout,run_271677,above_onb,540,9,1851023075227.8862,58.54759183502999,-24.668302311626086
42,off,ensemble__inner_holdout,run_271677,near_onb,60,1,790404887053.6329,114.77549731640117,-107.34861596604846
42,off,ensemble__inner_holdout,source_text_376000,below_onb,600,10,6515447698744.684,104.20690715066735,13.793400672679539
42,off,ensemble__inner_holdout,source_text_376000,near_onb,60,1,369613976849.8209,78.48715148033477,-66.03577424283941
42,off,ensemble__inner_holdout,source_text_376000,above_onb,420,7,392026248008.46173,30.551527434672973,-4.611726978306988
42,off,equal_offline,run_271677,below_onb,480,8,5025744268802.688,102.32448661002704,48.56147554584571
42,off,equal_offline,run_271677,above_onb,540,9,1992404426937.1533,60.74238905131568,-36.48610132129636
42,off,equal_offline,run_271677,near_onb,60,1,710801663442.8895,108.84252106008398,-101.64509305833333
42,off,equal_offline,source_text_376000,below_onb,600,10,6748825744002.73,106.05679095027918,16.832080444593256
42,off,equal_offline,source_text_376000,near_onb,60,1,384009522781.1187,80.00099195021674,-68.4146102041667
42,off,equal_offline,source_text_376000,above_onb,420,7,596115092398.8771,37.673885498694645,-20.204913546428546
42,on,randomforest,run_271677,below_onb,480,8,3635159054113.4688,87.02441053752138,-27.51384047723925
42,on,randomforest,run_271677,above_onb,540,9,6290281944897.151,107.9290056858121,-80.34664225734886
42,on,randomforest,run_271677,near_onb,60,1,2081773120743.9424,186.26921022827605,-173.5282347901041
42,on,randomforest,source_text_376000,below_onb,600,10,8442788396765.492,118.62256949927006,-57.68222919028115
42,on,randomforest,source_text_376000,near_onb,60,1,535432226988.01447,94.46623973568674,-73.54387042552078
42,on,randomforest,source_text_376000,above_onb,420,7,3028993496001.047,84.92284307648308,-66.6275109422621
42,on,conformer,run_271677,below_onb,480,8,3529296478554.279,85.74789208480918,12.975018922174527
42,on,conformer,run_271677,above_onb,540,9,4175336014455.274,87.93238158080747,28.725589665393336
42,on,conformer,run_271677,near_onb,60,1,1058425080198.2086,132.81723533978365,-117.60711037604155
42,on,conformer,source_text_376000,below_onb,600,10,5862398195238.218,98.84666741337496,-14.37035585694761
42,on,conformer,source_text_376000,near_onb,60,1,389615474424.4658,80.58282224151598,-69.11504965729164
42,on,conformer,source_text_376000,above_onb,420,7,2511043903545.0776,77.32189832655179,65.36313660238078
42,on,alexnet,run_271677,below_onb,480,8,4436913917137.68,96.14348995487681,41.823627434544214
42,on,alexnet,run_271677,above_onb,540,9,2904409834350.8,73.33850782692036,1.9539445554398054
42,on,alexnet,run_271677,near_onb,60,1,1169479431540.5789,139.611331413355,-131.635758618229
42,on,alexnet,source_text_376000,below_onb,600,10,6788607441712.019,106.36891339196193,7.279311271958338
42,on,alexnet,source_text_376000,near_onb,60,1,492252536459.5283,90.57708838879807,-82.11224614166662
42,on,alexnet,source_text_376000,above_onb,420,7,1229943204857.5051,54.11502750661482,32.83684218273793
