snr,model,sample_id,val_local_index,source_wav_id,chunk_index,region,ensemble_case,y_true_w_m2,base_prediction_w_m2,base_residual_w_m2,band,low_hz,high_hz,masked_prediction_w_m2,prediction_change_masked_minus_base_w_m2,abs_error_change_masked_minus_base_w_m2,mask_improves_error
no_noise,randomforest,near_onb_below_val0300,300,index=8.225704,0,below_onb,failure_vs_best_single,225704.9618,67781.9609375,-157923.0008625,freq_0_256Hz,0.0,256.0,67781.9609375,0.0,0.0,False
no_noise,randomforest,near_onb_below_val0300,300,index=8.225704,0,below_onb,failure_vs_best_single,225704.9618,67781.9609375,-157923.0008625,freq_256_512Hz,256.0,512.0,67781.9609375,0.0,0.0,False
no_noise,randomforest,near_onb_below_val0300,300,index=8.225704,0,below_onb,failure_vs_best_single,225704.9618,67781.9609375,-157923.0008625,freq_512_1000Hz,512.0,1000.0,66484.03125,-1297.9296875,1297.9296875,False
no_noise,randomforest,near_onb_below_val0300,300,index=8.225704,0,below_onb,failure_vs_best_single,225704.9618,67781.9609375,-157923.0008625,freq_1000_2000Hz,1000.0,2000.0,65835.3984375,-1946.5625,1946.5625,False
no_noise,randomforest,near_onb_below_val0300,300,index=8.225704,0,below_onb,failure_vs_best_single,225704.9618,67781.9609375,-157923.0008625,freq_2000_5000Hz,2000.0,5000.0,65242.01953125,-2539.94140625,2539.94140625,False
no_noise,randomforest,near_onb_below_val0300,300,index=8.225704,0,below_onb,failure_vs_best_single,225704.9618,67781.9609375,-157923.0008625,freq_5000_10000Hz,5000.0,10000.0,67781.9609375,0.0,0.0,False
no_noise,randomforest,near_onb_below_val0300,300,index=8.225704,0,below_onb,failure_vs_best_single,225704.9618,67781.9609375,-157923.0008625,freq_10000_15000Hz,10000.0,15000.0,67781.9609375,0.0,0.0,False
no_noise,randomforest,near_onb_below_val0300,300,index=8.225704,0,below_onb,failure_vs_best_single,225704.9618,67781.9609375,-157923.0008625,freq_15000_22000Hz,15000.0,22000.0,67781.9609375,0.0,0.0,False
no_noise,randomforest,near_onb_above_val0420,420,index=9.271677,0,near_onb,failure_vs_best_single,271677.6816,78234.71875,-193442.96285,freq_0_256Hz,0.0,256.0,78234.71875,0.0,0.0,False
no_noise,randomforest,near_onb_above_val0420,420,index=9.271677,0,near_onb,failure_vs_best_single,271677.6816,78234.71875,-193442.96285,freq_256_512Hz,256.0,512.0,78234.71875,0.0,0.0,False
no_noise,randomforest,near_onb_above_val0420,420,index=9.271677,0,near_onb,failure_vs_best_single,271677.6816,78234.71875,-193442.96285,freq_512_1000Hz,512.0,1000.0,76265.5234375,-1969.1953125,1969.1953125,False
no_noise,randomforest,near_onb_above_val0420,420,index=9.271677,0,near_onb,failure_vs_best_single,271677.6816,78234.71875,-193442.96285,freq_1000_2000Hz,1000.0,2000.0,76265.5234375,-1969.1953125,1969.1953125,False
no_noise,randomforest,near_onb_above_val0420,420,index=9.271677,0,near_onb,failure_vs_best_single,271677.6816,78234.71875,-193442.96285,freq_2000_5000Hz,2000.0,5000.0,55110.12890625,-23124.58984375,23124.58984375,False
no_noise,randomforest,near_onb_above_val0420,420,index=9.271677,0,near_onb,failure_vs_best_single,271677.6816,78234.71875,-193442.96285,freq_5000_10000Hz,5000.0,10000.0,78049.4296875,-185.2890625,185.2890625,False
no_noise,randomforest,near_onb_above_val0420,420,index=9.271677,0,near_onb,failure_vs_best_single,271677.6816,78234.71875,-193442.96285,freq_10000_15000Hz,10000.0,15000.0,78234.71875,0.0,0.0,False
no_noise,randomforest,near_onb_above_val0420,420,index=9.271677,0,near_onb,failure_vs_best_single,271677.6816,78234.71875,-193442.96285,freq_15000_22000Hz,15000.0,22000.0,78234.71875,0.0,0.0,False
no_noise,randomforest,false_negative_val0573,573,index=11.376320,33,above_onb,failure_vs_best_single,376320.1201,61229.87109375,-315090.24900625,freq_0_256Hz,0.0,256.0,61229.87109375,0.0,0.0,False
no_noise,randomforest,false_negative_val0573,573,index=11.376320,33,above_onb,failure_vs_best_single,376320.1201,61229.87109375,-315090.24900625,freq_256_512Hz,256.0,512.0,61229.87109375,0.0,0.0,False
no_noise,randomforest,false_negative_val0573,573,index=11.376320,33,above_onb,failure_vs_best_single,376320.1201,61229.87109375,-315090.24900625,freq_512_1000Hz,512.0,1000.0,62588.7890625,1358.91796875,-1358.91796875,True
no_noise,randomforest,false_negative_val0573,573,index=11.376320,33,above_onb,failure_vs_best_single,376320.1201,61229.87109375,-315090.24900625,freq_1000_2000Hz,1000.0,2000.0,61418.41796875,188.546875,-188.546875,True
no_noise,randomforest,false_negative_val0573,573,index=11.376320,33,above_onb,failure_vs_best_single,376320.1201,61229.87109375,-315090.24900625,freq_2000_5000Hz,2000.0,5000.0,51058.390625,-10171.48046875,10171.48046875,False
no_noise,randomforest,false_negative_val0573,573,index=11.376320,33,above_onb,failure_vs_best_single,376320.1201,61229.87109375,-315090.24900625,freq_5000_10000Hz,5000.0,10000.0,61229.87109375,0.0,0.0,False
no_noise,randomforest,false_negative_val0573,573,index=11.376320,33,above_onb,failure_vs_best_single,376320.1201,61229.87109375,-315090.24900625,freq_10000_15000Hz,10000.0,15000.0,61229.87109375,0.0,0.0,False
no_noise,randomforest,false_negative_val0573,573,index=11.376320,33,above_onb,failure_vs_best_single,376320.1201,61229.87109375,-315090.24900625,freq_15000_22000Hz,15000.0,22000.0,61229.87109375,0.0,0.0,False
no_noise,randomforest,low_heatflux_val0000,0,index=1.0,0,below_onb,failure_vs_best_single,-1.42e-06,69992.0546875,69992.05468892,freq_0_256Hz,0.0,256.0,69992.0546875,0.0,0.0,False
no_noise,randomforest,low_heatflux_val0000,0,index=1.0,0,below_onb,failure_vs_best_single,-1.42e-06,69992.0546875,69992.05468892,freq_256_512Hz,256.0,512.0,69992.0546875,0.0,0.0,False
no_noise,randomforest,low_heatflux_val0000,0,index=1.0,0,below_onb,failure_vs_best_single,-1.42e-06,69992.0546875,69992.05468892,freq_512_1000Hz,512.0,1000.0,70115.1328125,123.078125,123.078125,False
no_noise,randomforest,low_heatflux_val0000,0,index=1.0,0,below_onb,failure_vs_best_single,-1.42e-06,69992.0546875,69992.05468892,freq_1000_2000Hz,1000.0,2000.0,67623.96875,-2368.0859375,-2368.0859375,True
no_noise,randomforest,low_heatflux_val0000,0,index=1.0,0,below_onb,failure_vs_best_single,-1.42e-06,69992.0546875,69992.05468892,freq_2000_5000Hz,2000.0,5000.0,65178.171875,-4813.8828125,-4813.882812500007,True
no_noise,randomforest,low_heatflux_val0000,0,index=1.0,0,below_onb,failure_vs_best_single,-1.42e-06,69992.0546875,69992.05468892,freq_5000_10000Hz,5000.0,10000.0,69992.0546875,0.0,0.0,False
no_noise,randomforest,low_heatflux_val0000,0,index=1.0,0,below_onb,failure_vs_best_single,-1.42e-06,69992.0546875,69992.05468892,freq_10000_15000Hz,10000.0,15000.0,69992.0546875,0.0,0.0,False
no_noise,randomforest,low_heatflux_val0000,0,index=1.0,0,below_onb,failure_vs_best_single,-1.42e-06,69992.0546875,69992.05468892,freq_15000_22000Hz,15000.0,22000.0,69992.0546875,0.0,0.0,False
no_noise,randomforest,high_heatflux_val1020,1020,index=18.873637,0,above_onb,failure_vs_best_single,873637.0359,728064.5,-145572.53590000002,freq_0_256Hz,0.0,256.0,728064.5,0.0,0.0,False
no_noise,randomforest,high_heatflux_val1020,1020,index=18.873637,0,above_onb,failure_vs_best_single,873637.0359,728064.5,-145572.53590000002,freq_256_512Hz,256.0,512.0,728064.5,0.0,0.0,False
no_noise,randomforest,high_heatflux_val1020,1020,index=18.873637,0,above_onb,failure_vs_best_single,873637.0359,728064.5,-145572.53590000002,freq_512_1000Hz,512.0,1000.0,725974.75,-2089.75,2089.75,False
no_noise,randomforest,high_heatflux_val1020,1020,index=18.873637,0,above_onb,failure_vs_best_single,873637.0359,728064.5,-145572.53590000002,freq_1000_2000Hz,1000.0,2000.0,726882.0,-1182.5,1182.5,False
no_noise,randomforest,high_heatflux_val1020,1020,index=18.873637,0,above_onb,failure_vs_best_single,873637.0359,728064.5,-145572.53590000002,freq_2000_5000Hz,2000.0,5000.0,450420.25,-277644.25,277644.25,False
no_noise,randomforest,high_heatflux_val1020,1020,index=18.873637,0,above_onb,failure_vs_best_single,873637.0359,728064.5,-145572.53590000002,freq_5000_10000Hz,5000.0,10000.0,725717.8125,-2346.6875,2346.6875,False
no_noise,randomforest,high_heatflux_val1020,1020,index=18.873637,0,above_onb,failure_vs_best_single,873637.0359,728064.5,-145572.53590000002,freq_10000_15000Hz,10000.0,15000.0,728064.5,0.0,0.0,False
no_noise,randomforest,high_heatflux_val1020,1020,index=18.873637,0,above_onb,failure_vs_best_single,873637.0359,728064.5,-145572.53590000002,freq_15000_22000Hz,15000.0,22000.0,728064.5,0.0,0.0,False
no_noise,conformer,near_onb_below_val0300,300,index=8.225704,0,below_onb,failure_vs_best_single,225704.9618,154178.96875,-71525.99304999999,freq_0_256Hz,0.0,256.0,154220.328125,41.359375,-41.359375,True
no_noise,conformer,near_onb_below_val0300,300,index=8.225704,0,below_onb,failure_vs_best_single,225704.9618,154178.96875,-71525.99304999999,freq_256_512Hz,256.0,512.0,95768.4375,-58410.53125,58410.53125,False
no_noise,conformer,near_onb_below_val0300,300,index=8.225704,0,below_onb,failure_vs_best_single,225704.9618,154178.96875,-71525.99304999999,freq_512_1000Hz,512.0,1000.0,236540.546875,82361.578125,-60690.40797499998,True
no_noise,conformer,near_onb_below_val0300,300,index=8.225704,0,below_onb,failure_vs_best_single,225704.9618,154178.96875,-71525.99304999999,freq_1000_2000Hz,1000.0,2000.0,309085.0,154906.03125,11854.04515000002,False
no_noise,conformer,near_onb_below_val0300,300,index=8.225704,0,below_onb,failure_vs_best_single,225704.9618,154178.96875,-71525.99304999999,freq_2000_5000Hz,2000.0,5000.0,448962.09375,294783.125,151731.13890000002,False
no_noise,conformer,near_onb_below_val0300,300,index=8.225704,0,below_onb,failure_vs_best_single,225704.9618,154178.96875,-71525.99304999999,freq_5000_10000Hz,5000.0,10000.0,523328.46875,369149.5,226097.51390000002,False
no_noise,conformer,near_onb_below_val0300,300,index=8.225704,0,below_onb,failure_vs_best_single,225704.9618,154178.96875,-71525.99304999999,freq_10000_15000Hz,10000.0,15000.0,358935.46875,204756.5,61704.51390000002,False
no_noise,conformer,near_onb_below_val0300,300,index=8.225704,0,below_onb,failure_vs_best_single,225704.9618,154178.96875,-71525.99304999999,freq_15000_22000Hz,15000.0,22000.0,53364.5546875,-100814.4140625,100814.4140625,False
no_noise,conformer,near_onb_above_val0420,420,index=9.271677,0,near_onb,failure_vs_best_single,271677.6816,211340.609375,-60337.07222500001,freq_0_256Hz,0.0,256.0,211362.3125,21.703125,-21.703125,True
