snr,model,sample_id,val_local_index,source_wav_id,chunk_index,region,ensemble_case,y_true_w_m2,base_prediction_w_m2,base_residual_w_m2,best_mask_band,best_abs_error_change_w_m2,worst_mask_band,worst_abs_error_change_w_m2
no_noise,randomforest,near_onb_below_val0300,300,index=8.225704,0,below_onb,failure_vs_best_single,225704.9618,67781.9609375,-157923.0008625,freq_0_256Hz,0.0,freq_2000_5000Hz,2539.94140625
no_noise,randomforest,near_onb_above_val0420,420,index=9.271677,0,near_onb,failure_vs_best_single,271677.6816,78234.71875,-193442.96285,freq_0_256Hz,0.0,freq_2000_5000Hz,23124.58984375
no_noise,randomforest,false_negative_val0573,573,index=11.376320,33,above_onb,failure_vs_best_single,376320.1201,61229.87109375,-315090.24900625,freq_512_1000Hz,-1358.91796875,freq_2000_5000Hz,10171.48046875
no_noise,randomforest,low_heatflux_val0000,0,index=1.0,0,below_onb,failure_vs_best_single,-1.42e-06,69992.0546875,69992.05468892,freq_2000_5000Hz,-4813.882812500007,freq_512_1000Hz,123.078125
no_noise,randomforest,high_heatflux_val1020,1020,index=18.873637,0,above_onb,failure_vs_best_single,873637.0359,728064.5,-145572.53590000002,freq_0_256Hz,0.0,freq_2000_5000Hz,277644.25
no_noise,conformer,near_onb_below_val0300,300,index=8.225704,0,below_onb,failure_vs_best_single,225704.9618,154178.96875,-71525.99304999999,freq_512_1000Hz,-60690.40797499998,freq_5000_10000Hz,226097.51390000002
no_noise,conformer,near_onb_above_val0420,420,index=9.271677,0,near_onb,failure_vs_best_single,271677.6816,211340.609375,-60337.07222500001,freq_512_1000Hz,-28062.72257500002,freq_5000_10000Hz,206901.68367499998
no_noise,conformer,false_negative_val0573,573,index=11.376320,33,above_onb,failure_vs_best_single,376320.1201,150632.546875,-225687.573225,freq_1000_2000Hz,-183584.046875,freq_15000_22000Hz,134061.6953125
no_noise,conformer,worst_prediction_val0057,57,index=1.0,57,below_onb,failure_vs_best_single,-1.42e-06,225727.890625,225727.89062642,freq_15000_22000Hz,-139229.359375,freq_5000_10000Hz,222636.35937499997
no_noise,conformer,low_heatflux_val0000,0,index=1.0,0,below_onb,failure_vs_best_single,-1.42e-06,163529.1875,163529.18750142,freq_15000_22000Hz,-109154.19140625,freq_5000_10000Hz,363852.125
no_noise,alexnet,near_onb_below_val0300,300,index=8.225704,0,below_onb,failure_vs_best_single,225704.9618,103144.140625,-122560.82117499999,freq_15000_22000Hz,-114949.43922499998,freq_1000_2000Hz,391346.154525
no_noise,alexnet,near_onb_above_val0420,420,index=9.271677,0,near_onb,failure_vs_best_single,271677.6816,50413.51171875,-221264.16988125,freq_5000_10000Hz,-204558.22648125002,freq_1000_2000Hz,308428.21101875
no_noise,alexnet,false_negative_val0424,424,index=9.271677,4,near_onb,failure_vs_best_single,271677.6816,23159.4296875,-248518.2519125,freq_5000_10000Hz,-235022.9609375,freq_1000_2000Hz,157963.19148749998
no_noise,alexnet,low_heatflux_val0000,0,index=1.0,0,below_onb,failure_vs_best_single,-1.42e-06,111146.5390625,111146.53906392,freq_10000_15000Hz,-1977.359375,freq_1000_2000Hz,592291.2109375
no_noise,alexnet,high_heatflux_val1020,1020,index=18.873637,0,above_onb,failure_vs_best_single,873637.0359,909147.8125,35510.77659999998,freq_256_512Hz,-2268.4375,freq_1000_2000Hz,1410866.1875
-8,randomforest,near_onb_below_val0300,300,index=8.225704,0,below_onb,failure_vs_best_single,225704.9618,79901.7421875,-145803.2196125,freq_0_256Hz,0.0,freq_5000_10000Hz,7462.6796875
-8,randomforest,near_onb_above_val0420,420,index=9.271677,0,near_onb,failure_vs_best_single,271677.6816,73108.0546875,-198569.6269125,freq_5000_10000Hz,-854.6015625,freq_1000_2000Hz,12936.78125
-8,randomforest,false_negative_val0573,573,index=11.376320,33,above_onb,failure_vs_best_single,376320.1201,61054.9453125,-315265.1747875,freq_5000_10000Hz,-12206.9765625,freq_10000_15000Hz,3897.72265625
-8,randomforest,low_heatflux_val0000,0,index=1.0,0,below_onb,failure_vs_best_single,-1.42e-06,79750.484375,79750.48437642,freq_5000_10000Hz,-13164.5,freq_0_256Hz,0.0
-8,randomforest,high_heatflux_val1020,1020,index=18.873637,0,above_onb,failure_vs_best_single,873637.0359,727891.875,-145745.16090000002,freq_1000_2000Hz,-220.625,freq_2000_5000Hz,280667.75
-8,conformer,near_onb_below_val0300,300,index=8.225704,0,below_onb,failure_vs_best_single,225704.9618,26390.380859375,-199314.580940625,freq_512_1000Hz,-150772.01149062498,freq_2000_5000Hz,155161.89475937502
-8,conformer,near_onb_above_val0420,420,index=9.271677,0,near_onb,failure_vs_best_single,271677.6816,-17941.5546875,-289619.2362875,freq_512_1000Hz,-260523.19913750002,freq_10000_15000Hz,27338.84375
-8,conformer,false_negative_val0508,508,index=10.322114,28,above_onb,failure_vs_best_single,322114.2428,-49384.03125,-371498.27405,freq_5000_10000Hz,-358289.51685,freq_0_256Hz,-65.53125
-8,conformer,low_heatflux_val0000,0,index=1.0,0,below_onb,failure_vs_best_single,-1.42e-06,55022.86328125,55022.86328267,freq_10000_15000Hz,-15369.128909089995,freq_2000_5000Hz,510232.13671875006
-8,conformer,high_heatflux_val1020,1020,index=18.873637,0,above_onb,failure_vs_best_single,873637.0359,887068.5625,13431.526599999983,freq_0_256Hz,-10832.5,freq_10000_15000Hz,710939.493675
