snr,sample_id,val_local_index,prediction_w_m2,reconstruction_error_w_m2,relative_reconstruction_error,passed_abs_1_w_m2
no_noise,near_onb_below_val0300,300,67781.95973302056,0.05566019915568177,8.211653864083606e-07,True
no_noise,near_onb_above_val0420,420,78234.72174238229,0.03256953244272154,4.163053401016644e-07,True
no_noise,false_negative_val0573,573,61229.87328371628,-0.003315219088108279,5.41438175569431e-08,True
no_noise,low_heatflux_val0000,0,69992.05144500219,0.14117319772776682,2.0169889982249885e-06,True
no_noise,high_heatflux_val1020,1020,728064.5202902247,0.5232914342777804,7.18743215325454e-07,True
-8,near_onb_below_val0300,300,79901.74398164405,-0.1112834692467004,1.3927539463001676e-06,True
-8,near_onb_above_val0420,420,73108.05500282922,-0.16549932926136535,2.2637632645945875e-06,True
-8,false_negative_val0573,573,61054.94754610511,-0.05472563833609456,8.963342126331199e-07,True
-8,low_heatflux_val0000,0,79750.48229462438,-0.16451767896069214,2.062905128935898e-06,True
-8,high_heatflux_val1020,1020,727891.9058952172,0.49979484046343714,6.866333262062465e-07,True
