experiment_name,source_wav_id,chunk_index,heat_flux_w_m2,peak_2100_2500_psd,relative_to_run_onb_221505,relative_to_source_onb_369000
2025.06.11_0.3_2,index=10.3.15E+05,12,315466.1173,3.430384203649502e-10,at_or_above,below
2025.06.11_0.3_2,index=10.3.15E+05,13,315466.1173,6.367854381618057e-10,at_or_above,below
2025.06.11_0.3_2,index=10.3.15E+05,17,315466.1173,1.1963432735232344e-11,at_or_above,below
2025.06.11_0.3_2,index=10.3.15E+05,21,315466.1173,2.0032954414512794e-11,at_or_above,below
2025.06.11_0.3_2,index=10.3.15E+05,24,315466.1173,2.6707004552310114e-10,at_or_above,below
2025.06.11_0.3_2,index=10.3.15E+05,25,315466.1173,3.3066650563094045e-11,at_or_above,below
2025.06.11_0.3_2,index=10.3.15E+05,28,315466.1173,1.948581458232441e-11,at_or_above,below
2025.06.11_0.3_2,index=10.3.15E+05,36,315466.1173,1.6749664422059395e-11,at_or_above,below
2025.06.11_0.3_2,index=10.3.15E+05,53,315466.1173,2.605136084662171e-10,at_or_above,below
2025.06.11_0.3_2,index=8.2.22E+05,0,221505.1102,6.7466556644956174e-12,at_or_above,below
2025.06.11_0.3_2,index=8.2.22E+05,1,221505.1102,8.669981591899309e-12,at_or_above,below
2025.06.11_0.3_2,index=8.2.22E+05,2,221505.1102,8.916704580471974e-12,at_or_above,below
2025.06.11_0.3_2,index=8.2.22E+05,3,221505.1102,8.483391435213583e-12,at_or_above,below
2025.06.11_0.3_2,index=8.2.22E+05,4,221505.1102,7.328378363577153e-12,at_or_above,below
2025.06.11_0.3_2,index=8.2.22E+05,5,221505.1102,7.652823966564776e-12,at_or_above,below
2025.06.11_0.3_2,index=8.2.22E+05,6,221505.1102,6.8606809612017735e-12,at_or_above,below
2025.06.11_0.3_2,index=8.2.22E+05,7,221505.1102,8.47146238742056e-12,at_or_above,below
2025.06.11_0.3_2,index=8.2.22E+05,8,221505.1102,7.839606235164076e-12,at_or_above,below
2025.06.11_0.3_2,index=8.2.22E+05,9,221505.1102,6.274023464209081e-12,at_or_above,below
2025.06.11_0.3_2,index=8.2.22E+05,10,221505.1102,6.923884075054026e-12,at_or_above,below
2025.06.11_0.3_2,index=8.2.22E+05,11,221505.1102,7.540471338871012e-12,at_or_above,below
2025.06.11_0.3_2,index=8.2.22E+05,12,221505.1102,7.778828105947265e-12,at_or_above,below
2025.06.11_0.3_2,index=8.2.22E+05,13,221505.1102,7.104909992834029e-12,at_or_above,below
