seed,snr,ensemble_key,ensemble,best_single_key,best_single,delta_r2_vs_rf,delta_rmse_vs_rf,delta_rmse_vs_best_single,delta_onb_rmse_vs_rf,delta_below_rmse_vs_rf,delta_near_rmse_vs_rf,delta_above_rmse_vs_rf
42,clean,ensemble__simple_equal,Equal ensemble,conformer,Conformer,0.03955399999999998,-16792.516101,5478.548075999992,-50856.436170999994,10798.52856494252,-50856.43617117165,-37981.06356549258
42,clean,ensemble__inner_holdout,Inner-holdout ensemble,conformer,Conformer,0.04520600000000008,-19493.492480999994,2777.571695999999,-60837.92738699999,11850.819874113207,-60837.92738757482,-44874.93819436421
42,0,ensemble__simple_equal,Equal ensemble,randomforest,RandomForest,-0.010639000000000065,4035.231654000003,4035.231654000003,-91819.91755099999,54891.14882598462,-91819.91755091338,-44623.780246355265
42,0,ensemble__inner_holdout,Inner-holdout ensemble,randomforest,RandomForest,-0.03961700000000001,14278.444707999995,14278.444707999995,-115396.76310099999,75498.45519903285,-115396.76310169548,-52685.317397886254
42,-4,ensemble__simple_equal,Equal ensemble,randomforest,RandomForest,-0.030061000000000004,11014.650362999993,11014.650362999993,-107442.922194,68484.91355498353,-107442.92219422736,-48460.30975789024
42,-4,ensemble__inner_holdout,Inner-holdout ensemble,randomforest,RandomForest,-0.081125,27487.446559999997,27487.446559999997,-133778.595379,98294.66283062706,-133778.59537923976,-59198.74198661148
42,-8,ensemble__simple_equal,Equal ensemble,randomforest,RandomForest,-0.065114,22688.956195000006,22688.956195000006,-121594.35507000002,87352.04421167272,-121594.3550704253,-51954.34526750106
42,-8,ensemble__inner_holdout,Inner-holdout ensemble,randomforest,RandomForest,-0.16102400000000006,49773.71984100001,49773.71984100001,-114905.01038400002,132175.91630949586,-114905.01038454323,-66198.09445144962
42,-12,ensemble__simple_equal,Equal ensemble,randomforest,RandomForest,-0.10475599999999996,34643.94288399999,34643.94288399999,-125825.80450000001,105859.87171842362,-125825.80449970624,-53856.750753764565
42,-12,ensemble__inner_holdout,Inner-holdout ensemble,randomforest,RandomForest,-0.257259,72726.526661,72726.526661,-80568.834379,165746.3653022612,-80568.83437826911,-68589.2722501718
42,-16,ensemble__simple_equal,Equal ensemble,randomforest,RandomForest,-0.16017599999999999,49810.88912400001,49810.88912400001,-104092.348742,125086.5453166933,-104092.34874150308,-50711.65159376164
42,-16,ensemble__inner_holdout,Inner-holdout ensemble,randomforest,RandomForest,-0.36297199999999996,94919.506142,94919.506142,-42115.941269,193815.46931332943,-42115.941268086855,-59900.93851155733
42,-20,ensemble__simple_equal,Equal ensemble,randomforest,RandomForest,-0.223352,52568.81896200002,52568.81896200002,8909.325271000009,94551.49828791589,8909.325271702997,-31055.993450032765
42,-20,ensemble__inner_holdout,Inner-holdout ensemble,randomforest,RandomForest,-0.44774299999999995,93314.176817,93314.176817,66368.182657,154205.44866379793,66368.18265712322,-29364.56019613183
43,clean,ensemble__simple_equal,Equal ensemble,alexnet,AlexNet,0.03729499999999997,-15746.000340000013,-9764.719358000002,-42216.45396999999,12569.455348182586,-42216.45397067252,-39267.1498876418
43,clean,ensemble__inner_holdout,Inner-holdout ensemble,alexnet,AlexNet,0.02773799999999993,-11430.174966000006,-5448.893983999995,-52780.93614399999,20454.19141411787,-52780.93614440177,-36905.41808020858
43,0,ensemble__simple_equal,Equal ensemble,randomforest,RandomForest,-0.017128000000000032,6416.525901000001,6416.525901000001,-96878.88018099999,59767.87453987813,-96878.88018119434,-46136.89989507658
43,0,ensemble__inner_holdout,Inner-holdout ensemble,randomforest,RandomForest,-0.06812600000000002,23494.516336,23494.516336,-125271.66065899999,86914.2454962759,-125271.66065930063,-42902.44472331907
43,-4,ensemble__simple_equal,Equal ensemble,randomforest,RandomForest,-0.029674999999999896,10873.511266000001,10873.511266000001,-106925.89870199999,68836.90322518427,-106925.89870267904,-49804.29488452143
43,-4,ensemble__inner_holdout,Inner-holdout ensemble,randomforest,RandomForest,-0.09116099999999994,30455.900647000002,30455.900647000002,-136504.730045,99707.18927736091,-136504.73004491706,-47562.1392136084
43,-8,ensemble__simple_equal,Equal ensemble,randomforest,RandomForest,-0.04792699999999994,17038.603743999993,17038.603743999993,-119981.836754,81097.09059822578,-119981.836754483,-55938.96528985601
43,-8,ensemble__inner_holdout,Inner-holdout ensemble,randomforest,RandomForest,-0.12448700000000001,39886.71844699999,39886.71844699999,-134528.697212,116827.88802319318,-134528.6972123217,-56104.26658661875
43,-12,ensemble__simple_equal,Equal ensemble,randomforest,RandomForest,-0.09602999999999995,31889.188924999995,31889.188924999995,-128254.49534400001,106085.0803729695,-128254.4953442901,-63842.52985856618
