seed,snr,model_key,model,r2_mean,rmse_all_mean,mae_all_mean,r2_high_mean,rmse_high_mean,mae_high_mean,rmse_onb_mean,mae_onb_mean,roc_auc_cont_mean,pr_auc_cont_mean,accuracy_mean,precision_mean,recall_mean,f1_mean
42,clean,randomforest,RandomForest,0.876416,95729.577205,80162.148425,0.697942,105800.02469,85585.87478,153194.157873,147836.272427,0.933149,0.941029,0.90463,0.996008,0.831667,0.906449
42,clean,conformer,Conformer,0.927229,73458.513028,57653.054242,0.912813,56841.584412,42943.547889,87169.205661,79025.141562,0.978528,0.985882,0.888889,1.0,0.8,0.888889
42,clean,alexnet,AlexNet,0.870409,98028.503932,78500.623763,0.900321,60777.45827,46174.273336,84662.736153,68911.306605,0.910215,0.945882,0.857407,0.951417,0.783333,0.859232
42,clean,ensemble__simple_equal,Equal ensemble,0.91597,78937.061104,62204.452189,0.880882,66439.833178,49619.237872,102337.721702,95989.211267,0.961111,0.97641,0.892593,1.0,0.806667,0.892989
42,clean,ensemble__inner_holdout,Inner-holdout ensemble,0.921622,76236.084724,59471.215911,0.905453,59192.112088,44017.455819,92356.230486,85827.188177,0.969729,0.981068,0.890741,1.0,0.803333,0.890943
42,0,randomforest,RandomForest,0.876406,95733.412025,80137.271757,0.697943,105799.898901,85522.703914,153072.266003,147063.728093,0.932326,0.940304,0.905556,0.996016,0.833333,0.907441
42,0,conformer,Conformer,0.800135,121739.767643,87654.162198,0.942816,46034.09243,37497.504238,22703.350554,17472.698878,0.93825,0.961625,0.867593,0.897391,0.86,0.878298
42,0,alexnet,AlexNet,0.785773,126037.814721,91330.899276,0.938687,47666.98093,38185.003364,26015.973174,20643.465928,0.911031,0.946539,0.816667,0.832781,0.838333,0.835548
42,0,ensemble__simple_equal,Equal ensemble,0.865767,99768.643679,73461.059578,0.917628,55249.921186,43629.208946,61252.348452,58175.024968,0.945688,0.967292,0.903704,0.997992,0.828333,0.905282
42,0,ensemble__inner_holdout,Inner-holdout ensemble,0.836789,110011.856733,78643.171525,0.9437,45676.615142,36957.876589,37675.502902,34855.979162,0.947389,0.967901,0.9,0.997976,0.821667,0.90128
42,-4,randomforest,RandomForest,0.876542,95680.774319,80101.426192,0.698432,105714.154781,85458.181896,152869.285412,146850.49528,0.933979,0.941761,0.905556,0.996016,0.833333,0.907441
42,-4,conformer,Conformer,0.718414,144500.604149,105629.679299,0.947177,44243.603733,36256.409182,35117.31945,31041.179263,0.932372,0.958434,0.656481,0.621679,0.975,0.759247
42,-4,alexnet,AlexNet,0.761794,132904.834391,97999.301778,0.93156,50361.025113,40030.921233,18670.092241,14563.32239,0.900979,0.940803,0.785185,0.766667,0.881667,0.820155
42,-4,ensemble__simple_equal,Equal ensemble,0.846481,106695.424682,78142.846797,0.932154,50141.998977,40251.665172,45426.363218,43059.697537,0.94592,0.968543,0.906481,0.998004,0.833333,0.908265
42,-4,ensemble__inner_holdout,Inner-holdout ensemble,0.795417,123168.220879,87607.222727,0.960352,38331.254577,31009.915677,19090.690033,14543.063721,0.946562,0.968658,0.900926,0.939394,0.878333,0.907838
42,-8,randomforest,RandomForest,0.878139,95059.809763,79547.921135,0.706561,104279.620715,84561.723081,149066.486884,143394.897884,0.932875,0.946142,0.906481,0.996024,0.835,0.908432
42,-8,conformer,Conformer,0.538627,184965.28527,140798.347929,0.909892,57786.039807,48661.54881,91690.620909,89018.246525,0.912257,0.946201,0.556481,0.55607,1.0,0.714711
