snr,model_key,model,r2_mean_mean,r2_mean_std,r2_mean_min,r2_mean_max,rmse_all_mean_mean,rmse_all_mean_std,rmse_all_mean_min,rmse_all_mean_max,mae_all_mean_mean,mae_all_mean_std,mae_all_mean_min,mae_all_mean_max,rmse_onb_mean_mean,rmse_onb_mean_std,rmse_onb_mean_min,rmse_onb_mean_max,roc_auc_cont_mean_mean,roc_auc_cont_mean_std,roc_auc_cont_mean_min,roc_auc_cont_mean_max,recall_mean_mean,recall_mean_std,recall_mean_min,recall_mean_max,f1_mean_mean,f1_mean_std,f1_mean_min,f1_mean_max
clean,randomforest,RandomForest,0.8763066666666667,0.00028329195776324135,0.875985,0.876519,95771.84103200001,109.6591026444621,95689.602517,95896.343374,80135.899895,62.83554037259,80064.196059,80181.355201,152227.00469666664,904.3339167065348,151402.42828,153194.157873,0.9330913333333334,0.0008589530448943802,0.932205,0.93392,0.831667,0.0,0.831667,0.831667,0.906449,0.0,0.906449,0.906449
clean,conformer,Conformer,0.9016413333333334,0.02249832714521975,0.884958,0.927229,85001.620209,10122.096074680263,73458.513028,92361.989837,68638.117562,9543.969077981134,57653.054242,74894.608418,87713.488551,10038.284774067322,77958.418105,98012.841887,0.9612536666666666,0.015334779891910226,0.949247,0.978528,0.7938890000000001,0.005357514629004812,0.79,0.8,0.8850973333333334,0.003324519865083307,0.882682,0.888889
clean,alexnet,AlexNet,0.8888053333333333,0.017218195037033708,0.870409,0.904534,90624.70892666666,6990.794085025853,84137.301313,98028.503932,76695.457413,1992.040327684467,74558.266809,78500.623763,93828.25721333333,13912.319591606856,84662.736153,109836.758603,0.942632,0.028402178560807657,0.910215,0.963146,0.7888890000000001,0.006939153550686151,0.783333,0.796667,0.8752783333333333,0.014336762547148978,0.859232,0.886827
clean,ensemble__simple_equal,Equal ensemble,0.9175383333333333,0.004708643576799256,0.913814,0.922831,78175.56375833333,2247.7087489686105,75646.027994,79943.602177,62554.58416866666,1421.7653920338207,61340.595614,64118.704703,106999.25543099998,4039.575763874235,102337.721702,109474.070281,0.963361,0.005127662625407398,0.959743,0.969229,0.803889,0.0034695767753430977,0.8,0.806667,0.8912816666666666,0.0021341886826926047,0.888889,0.892989
clean,ensemble__inner_holdout,Inner-holdout ensemble,0.915054,0.009423329401013227,0.904257,0.921622,79287.01896466665,4343.104336265072,76236.084724,84259.427551,64316.75128433333,4877.502943235496,59471.215911,69225.605287,97387.60136700001,4541.917798300278,92356.230486,101185.081479,0.9655196666666667,0.006605902385997911,0.957906,0.969729,0.7994443333333333,0.004194197936832918,0.795,0.803333,0.888542,0.0025919793594857713,0.885794,0.890943
0,randomforest,RandomForest,0.8762150000000001,0.0002724573361097097,0.875903,0.876406,95807.25880266666,105.3300827105026,95733.412025,95927.874583,80126.893046,49.52216349610461,80073.004035,80170.403346,152334.47072566664,652.6094709383566,151832.747193,153072.266003,0.9323146666666666,0.0007880611228408875,0.931521,0.933097,0.833333,0.0,0.833333,0.833333,0.907441,0.0,0.907441,0.907441
0,conformer,Conformer,0.7644796666666668,0.03247244212148721,0.736603,0.800135,131937.87363333334,9240.857220209984,121739.767643,139755.826741,98821.599324,9961.581675149666,87654.162198,106792.653326,22257.712225,2876.2898699838074,19184.612675,24885.173446,0.921574,0.016613358360066745,0.905024,0.93825,0.8866666666666667,0.025873774798690116,0.86,0.911667,0.8317043333333333,0.04038390565972211,0.806785,0.878298
0,alexnet,AlexNet,0.7847643333333334,0.015883039297733083,0.768401,0.800119,126276.99666533334,4656.574344757995,121744.622609,131048.552666,97540.51350833332,5424.2024836188575,91330.899276,101354.186548,29714.179285000002,12492.805603838984,19487.991639,43638.573042,0.9211226666666666,0.009168863524632335,0.911031,0.928941,0.823889,0.027954818046268932,0.791667,0.841667,0.860839,0.024176681802927383,0.835548,0.883721
0,ensemble__simple_equal,Equal ensemble,0.8636379999999999,0.0038374563189696367,0.859208,0.865939,100550.07364199999,1409.337424980202,99704.561546,102177.015701,75073.16635133333,1474.2527145108684,73461.059578,76352.77531,60525.25423233333,5245.769545046478,54953.867012,65369.547233,0.9439923333333334,0.003829268380948674,0.939608,0.946681,0.8305556666666667,0.0019248857974782144,0.828333,0.831667,0.9066093333333334,0.0011495043859564846,0.905282,0.907273
0,ensemble__inner_holdout,Inner-holdout ensemble,0.8282543333333333,0.017422517910260064,0.80821,0.839764,112757.08792866666,5649.862615780455,109004.400917,119255.006136,83885.70794366667,5633.361307511877,78643.171525,89841.885229,38417.89571433333,12244.896117947608,26561.086534,51017.097707,0.9421483333333334,0.004921366612368259,0.937625,0.947389,0.8255556666666667,0.0034691764632738104,0.821667,0.828333,0.9036153333333333,0.0020831076144389275,0.90128,0.905282
