seed,snr,model_key,model,region,chunks,r2,rmse,mae,mean_residual,misses,false_alarms
42,clean,randomforest,RandomForest,below,480,-0.012098575688866742,81408.14063245419,73382.49048046916,10206.515251927502,0,2
42,clean,randomforest,RandomForest,near,60,-6.926663857218582e+30,153194.15787319953,147836.27242708337,-141135.91727708332,55,0
42,clean,randomforest,RandomForest,above,540,0.6911386062196663,99145.23703322763,78669.16393032408,-76961.02860717593,46,0
42,clean,randomforest,RandomForest,all,1080,0.8764155360660727,95729.57720513211,80162.14842465296,-41785.16959590259,101,2
42,clean,conformer,Conformer,below,480,-0.23740978903971444,90014.65107847881,76039.93718337278,47458.53096644572,0,0
42,clean,conformer,Conformer,near,60,-2.2426726257165004e+30,87169.20566087976,79025.14156229167,-78926.69240729166,59,0
42,clean,conformer,Conformer,above,540,0.9137277728183029,52399.3074261454,38934.481924768515,-8041.11564421296,61,0
42,clean,conformer,Conformer,all,1080,0.9272294156443043,73458.51302849957,57653.05424178838,12687.306362575413,120,0
42,clean,alexnet,AlexNet,below,480,-1.596828626759014,130400.14482355113,118908.5617955733,103910.00363083374,0,24
42,clean,alexnet,AlexNet,near,60,-2.1155549250488182e+30,84662.73615333847,68911.30660541667,-67657.95790208333,56,0
42,clean,alexnet,AlexNet,above,540,0.8960620917832671,57514.45754891699,43647.93630620371,-22336.5190875,74,0
42,clean,alexnet,AlexNet,all,1080,0.8704085510224286,98028.50393219262,78500.62376254649,31255.188853171483,130,24
42,clean,ensemble__simple_equal,Equal ensemble,below,480,-0.2984098784003604,92206.66919739671,77935.97008504815,53858.34994973565,0,0
42,clean,ensemble__simple_equal,Equal ensemble,near,60,-3.0910867508490934e+30,102337.72170202788,95989.2112671528,-95906.85586215282,59,0
42,clean,ensemble__simple_equal,Equal ensemble,above,540,0.8824522992182355,61164.173467735054,44467.018606111145,-35779.554446296366,57,0
42,clean,ensemble__simple_equal,Equal ensemble,all,1080,0.9159701665366513,78937.0611038762,62204.45218902992,719.108539948064,116,0
42,clean,ensemble__inner_holdout,Inner-holdout ensemble,below,480,-0.3282147026047295,93258.9605065674,78788.41602609589,55915.30094949859,0,0
42,clean,ensemble__inner_holdout,Inner-holdout ensemble,near,60,-2.517515209167246e+30,92356.2304856247,85827.1881768673,-85795.2052946997,59,0
42,clean,ensemble__inner_holdout,Inner-holdout ensemble,above,540,0.9074568363286092,54270.298838863426,39371.93000149217,-22423.004232995543,59,0
42,clean,ensemble__inner_holdout,Inner-holdout ensemble,all,1080,0.9216222549592956,76236.08472376877,59471.21591105911,8873.342455796072,118,0
42,0,randomforest,RandomForest,below,480,-0.012355946400500084,81418.49078004001,73405.48156119834,10183.524171198334,0,2
42,0,randomforest,RandomForest,near,60,-6.915645576524482e+30,153072.26600334494,147063.72809250004,-139865.82899583332,54,0
42,0,randomforest,RandomForest,above,540,0.6910092033310664,99166.0041747319,78684.81233888889,-76976.67701574074,46,0
42,0,randomforest,RandomForest,all,1080,0.8764056345572325,95733.41202481705,80137.27175733814,-41732.65159821741,100,2
42,0,conformer,Conformer,below,480,-3.6880065363529173,175206.6286570147,150349.9846479692,150105.9074394275,0,59
