seed,snr,ensemble_key,ensemble,best_single_key,best_single,delta_r2_vs_rf,delta_rmse_vs_rf,relative_rmse_vs_rf,delta_rmse_vs_best_single,relative_rmse_vs_best_single,within_2pct_of_best_single,beats_rf,beats_best_single,delta_onb_rmse_vs_rf,delta_rmse_vs_evaluation_oracle,delta_below_rmse_vs_rf,delta_below_false_alarms_vs_rf,delta_below_misses_vs_rf,delta_near_rmse_vs_rf,delta_near_false_alarms_vs_rf,delta_near_misses_vs_rf,delta_above_rmse_vs_rf,delta_above_false_alarms_vs_rf,delta_above_misses_vs_rf
42,clean,ensemble__simple_equal,Equal ensemble,conformer,Conformer,0.03955399999999998,-16792.516101,-0.17541617325896763,5478.548075999992,0.0745801657312577,False,True,False,-50856.436170999994,6078.5930726424995,10798.52856494252,-2,0,-50856.43617117165,0,4,-37981.06356549258,0,11
42,clean,ensemble__inner_holdout,Inner-holdout ensemble,conformer,Conformer,0.04520600000000008,-19493.492480999994,-0.20363082184365733,2777.571695999999,0.03781143371281259,False,True,False,-60837.92738699999,3377.6166926425067,11850.819874113207,-2,0,-60837.92738757482,0,4,-44874.93819436421,0,13
42,0,ensemble__simple_equal,Equal ensemble,conformer,Conformer,0.007390000000000008,-2935.561505999998,-0.03096286610052279,-2719.151269000009,-0.028745891896247766,True,True,True,-19437.61387900001,5072.647681730159,23700.62075318038,-1,0,-19437.61387947989,0,6,-25935.058885537714,0,14
42,0,ensemble__inner_holdout,Inner-holdout ensemble,conformer,Conformer,0.010487999999999942,-4194.423537999988,-0.04424072672656687,-3978.013300999999,-0.04205412976323131,True,True,True,-24633.13719400001,3813.785649730169,25383.675222930062,-2,0,-24633.137194282142,0,5,-30436.005058089664,0,12
42,-4,ensemble__simple_equal,Equal ensemble,randomforest,RandomForest,0.012519999999999976,-4997.948643000011,-0.052401605495238424,-4997.948643000011,-0.052401605495238424,True,True,True,-20631.998296000005,1637.0359442116023,18774.955480696502,-1,0,-20631.998296022866,0,3,-24615.5362604415,0,8
42,-4,ensemble__inner_holdout,Inner-holdout ensemble,randomforest,RandomForest,0.010465999999999975,-4159.148827000012,-0.043607105954097225,-4159.148827000012,-0.043607105954097225,True,True,True,-20103.227266999995,2475.835760211601,21164.681951060804,-1,0,-20103.227266908478,0,3,-25582.605394262064,0,10
42,-8,ensemble__simple_equal,Equal ensemble,randomforest,RandomForest,-0.009700000000000042,3693.3783279999916,0.0386597652112457,3693.3783279999916,0.0386597652112457,False,False,False,-43833.546723999985,7019.953564539377,37841.456340567864,-1,0,-43833.54672366126,0,2,-23420.98934351484,0,5
42,-8,ensemble__inner_holdout,Inner-holdout ensemble,randomforest,RandomForest,-0.014799000000000007,5580.646250999998,0.05841439858870556,5580.646250999998,0.05841439858870556,False,False,False,-50304.15978199999,8907.221487539384,44743.903595909374,-1,0,-50304.15978134409,0,3,-27543.188055872073,0,6
42,-12,ensemble__simple_equal,Equal ensemble,randomforest,RandomForest,-0.006561999999999957,2488.8634059999895,0.025787600929981336,2488.8634059999895,0.025787600929981336,False,False,False,-81419.173777,6499.073194029654,45631.09511283826,-1,0,-81419.17377759636,0,0,-33377.4137664646,0,0
42,-12,ensemble__inner_holdout,Inner-holdout ensemble,randomforest,RandomForest,-0.039841000000000015,14252.750191,0.14767553462121308,14252.750191,0.14767553462121308,False,False,False,-110002.745525,18262.959979029663,72410.24005184218,22,0,-110002.74552521636,0,-10,-45331.65774172128,0,-4
