seed,snr,subset,models,model_count,rmse,best_equal_subset_on_evaluation_day
42,clean,rf,randomforest,1,95729.57720513211,False
42,clean,conformer,conformer,1,73458.51302849957,True
42,clean,alexnet,alexnet,1,98028.50393219262,False
42,clean,rf+conformer,randomforest;conformer,2,77481.12905156355,False
42,clean,rf+alexnet,randomforest;alexnet,2,85340.96430385596,False
42,clean,conformer+alexnet,conformer;alexnet,2,82316.16946748829,False
42,clean,rf+conformer+alexnet,randomforest;conformer;alexnet,3,78937.0611038762,False
42,0,rf,randomforest,1,94809.1012135997,False
42,0,conformer,conformer,1,94592.69097669532,False
42,0,alexnet,alexnet,1,113287.84219938266,False
42,0,rf+conformer,randomforest;conformer,2,86800.89202626982,True
42,0,rf+alexnet,randomforest;alexnet,2,95778.3145379178,False
42,0,conformer+alexnet,conformer;alexnet,2,99882.2834212627,False
42,0,rf+conformer+alexnet,randomforest;conformer;alexnet,3,91873.5397075593,False
42,-4,rf,randomforest,1,95377.77699301297,False
42,-4,conformer,conformer,1,101632.4286474462,False
42,-4,alexnet,alexnet,1,122800.5024236488,False
42,-4,rf+conformer,randomforest;conformer,2,90341.11277348833,True
42,-4,rf+alexnet,randomforest;alexnet,2,99377.61396931444,False
42,-4,conformer+alexnet,conformer;alexnet,2,94700.77531950969,False
42,-4,rf+conformer+alexnet,randomforest;conformer;alexnet,3,90379.82835026,False
42,-8,rf,randomforest,1,95535.45676849996,False
42,-8,conformer,conformer,1,103171.52966755087,False
42,-8,alexnet,alexnet,1,117981.30642496828,False
42,-8,rf+conformer,randomforest;conformer,2,92821.26584003656,True
42,-8,rf+alexnet,randomforest;alexnet,2,100162.40567732647,False
42,-8,conformer+alexnet,conformer;alexnet,2,109218.87716588195,False
42,-8,rf+conformer+alexnet,randomforest;conformer;alexnet,3,99228.83509607577,False
42,-12,rf,randomforest,1,96513.95695021645,False
42,-12,conformer,conformer,1,135806.66887584905,False
42,-12,alexnet,alexnet,1,105428.38308193198,False
42,-12,rf+conformer,randomforest;conformer,2,99242.53442776392,False
42,-12,rf+alexnet,randomforest;alexnet,2,95444.16660969298,True
42,-12,conformer+alexnet,conformer;alexnet,2,113195.50210284346,False
42,-12,rf+conformer+alexnet,randomforest;conformer;alexnet,3,99002.82035629365,False
42,-16,rf,randomforest,1,96813.40035828036,False
42,-16,conformer,conformer,1,98367.67556866836,False
42,-16,alexnet,alexnet,1,111878.3813780101,False
42,-16,rf+conformer,randomforest;conformer,2,93332.53345283004,True
42,-16,rf+alexnet,randomforest;alexnet,2,102400.82283327357,False
42,-16,conformer+alexnet,conformer;alexnet,2,100820.06211508915,False
42,-16,rf+conformer+alexnet,randomforest;conformer;alexnet,3,97684.58007775348,False
42,-20,rf,randomforest,1,96704.86017062333,False
42,-20,conformer,conformer,1,89235.49664545323,True
42,-20,alexnet,alexnet,1,94466.40732921027,False
42,-20,rf+conformer,randomforest;conformer,2,89859.49179662202,False
42,-20,rf+alexnet,randomforest;alexnet,2,94920.13195555091,False
42,-20,conformer+alexnet,conformer;alexnet,2,89446.67619556811,False
42,-20,rf+conformer+alexnet,randomforest;conformer;alexnet,3,90739.1649114807,False
43,clean,rf,randomforest,1,95689.60251672278,False
43,clean,conformer,conformer,1,92361.98983686088,False
43,clean,alexnet,alexnet,1,89708.32153546273,False
43,clean,rf+conformer,randomforest;conformer,2,81708.97554790076,False
43,clean,rf+alexnet,randomforest;alexnet,2,78808.04603451192,True
43,clean,conformer+alexnet,conformer;alexnet,2,89030.01838060778,False
43,clean,rf+conformer+alexnet,randomforest;conformer;alexnet,3,79943.60217728735,False
43,0,rf,randomforest,1,95299.79528439928,False
43,0,conformer,conformer,1,103946.7294694974,False
43,0,alexnet,alexnet,1,118035.1631288025,False
43,0,rf+conformer,randomforest;conformer,2,93404.28693926723,True
43,0,rf+alexnet,randomforest;alexnet,2,96709.55916783874,False
43,0,conformer+alexnet,conformer;alexnet,2,106501.24942822702,False
43,0,rf+conformer+alexnet,randomforest;conformer;alexnet,3,96528.17081492617,False
43,-4,rf,randomforest,1,95800.01127829401,False
43,-4,conformer,conformer,1,99197.65521286096,False
43,-4,alexnet,alexnet,1,102413.0609219757,False
43,-4,rf+conformer,randomforest;conformer,2,92158.94601980217,False
43,-4,rf+alexnet,randomforest;alexnet,2,89445.71332104078,True
43,-4,conformer+alexnet,conformer;alexnet,2,94473.96403827854,False
43,-4,rf+conformer+alexnet,randomforest;conformer;alexnet,3,89548.43218946882,False
43,-8,rf,randomforest,1,95858.60468404621,False
43,-8,conformer,conformer,1,96856.24755856587,False
43,-8,alexnet,alexnet,1,133938.3273420931,False
43,-8,rf+conformer,randomforest;conformer,2,90324.27126102653,True
43,-8,rf+alexnet,randomforest;alexnet,2,107456.02054738249,False
43,-8,conformer+alexnet,conformer;alexnet,2,111332.03059217353,False
