seed,snr,best_single_key,best_single_rmse,oracle_weight_randomforest,oracle_weight_conformer,oracle_weight_alexnet,oracle_rmse,learned_weight_l1_distance_to_oracle,max_weight_model_key,max_weight_matches_evaluation_best,weight_vs_negative_evaluation_rmse_spearman
42,clean,conformer,73458.513028,0.13,0.87,0.0,72858.4680313575,0.5582289327944554,conformer,True,0.5
42,0,conformer,94592.690977,0.5,0.5,0.0,86800.89202626984,0.5204300207474839,conformer,True,1.0
42,-4,randomforest,95377.776993,0.44,0.4,0.16,88742.7924057884,0.4395017973627715,alexnet,False,-1.0
42,-8,randomforest,95535.456768,0.65,0.35,0.0,92208.88153146062,0.8623220435816024,conformer,False,-0.5
42,-12,randomforest,96513.95695,0.78,0.22,0.0,92503.74716197034,1.2072942454228215,conformer,False,-1.0
42,-16,randomforest,96813.400358,0.55,0.45,0.0,93294.85032815301,0.7580216304377233,conformer,False,-0.5
42,-20,conformer,89235.496645,0.12,0.77,0.11,88674.82920365392,0.991140477599365,alexnet,False,-0.5
43,clean,alexnet,89708.321535,0.44,0.0,0.56,78604.12391027063,0.8674063708843933,alexnet,True,1.0
43,0,randomforest,95299.795284,0.67,0.24,0.09,92410.04293748792,1.0941602824252146,alexnet,False,-1.0
43,-4,randomforest,95800.011278,0.51,0.14,0.35,88813.6365662192,0.974428131095013,conformer,False,0.5
43,-8,randomforest,95858.604684,0.52,0.48,0.0,90312.96259293439,0.6604996223615446,conformer,False,-0.5
43,-12,randomforest,96895.230298,0.61,0.39,0.0,92711.90662790007,0.6937719214777538,conformer,False,-0.5
43,-16,alexnet,83495.21867,0.0,0.21,0.79,82796.44632331721,0.7400201705794526,alexnet,True,0.5
43,-20,conformer,90447.959277,0.29,0.71,0.0,89044.89671997362,0.8709946940013626,randomforest,False,-0.5
44,clean,alexnet,84137.301313,0.4,0.0,0.6,72886.35283528363,0.6874386484002487,alexnet,True,1.0
44,0,randomforest,95085.396692,0.62,0.38,0.0,88810.22312340944,0.5298042319544205,conformer,False,0.5
44,-4,randomforest,95609.620192,0.86,0.14,0.0,94778.20962973028,1.0091968879212245,conformer,False,0.5
44,-8,randomforest,95851.794118,0.7,0.3,0.0,92301.4825847004,0.6947692026827248,randomforest,True,0.5
44,-12,randomforest,96950.836114,0.62,0.38,0.0,90380.54367361925,0.5820729047994055,randomforest,True,1.0
44,-16,randomforest,97355.49819,0.52,0.48,0.0,91381.16683880985,0.5604879597047735,randomforest,True,1.0
44,-20,randomforest,97328.853887,0.86,0.14,0.0,92382.3894580385,0.9054702154365819,randomforest,True,0.5
