seed,snr,best_single_key,best_single_rmse,oracle_weight_randomforest,oracle_weight_conformer,oracle_weight_alexnet,oracle_rmse,learned_weight_l1_distance_to_oracle,max_weight_model_key,max_weight_matches_evaluation_best,weight_vs_negative_evaluation_rmse_spearman,ensemble_key,ensemble,best_single,delta_r2_vs_rf,delta_rmse_vs_rf,relative_rmse_vs_rf,delta_rmse_vs_best_single,relative_rmse_vs_best_single,within_2pct_of_best_single,beats_rf,beats_best_single,delta_onb_rmse_vs_rf,delta_rmse_vs_evaluation_oracle,delta_below_rmse_vs_rf,delta_below_false_alarms_vs_rf,delta_below_misses_vs_rf,delta_near_rmse_vs_rf,delta_near_false_alarms_vs_rf,delta_near_misses_vs_rf,delta_above_rmse_vs_rf,delta_above_false_alarms_vs_rf,delta_above_misses_vs_rf
42,clean,conformer,73458.513028,0.13,0.87,0.0,72858.4680313575,0.5582289327944554,conformer,True,0.5,ensemble__inner_holdout,Inner-holdout ensemble,Conformer,0.04520600000000008,-19493.492480999994,-0.20363082184365733,2777.571695999999,0.03781143371281259,False,True,False,-60837.92738699999,3377.6166926425067,11850.819874113207,-2,0,-60837.92738757482,0,4,-44874.93819436421,0,13
42,0,conformer,94592.690977,0.5,0.5,0.0,86800.89202626984,0.5204300207474839,conformer,True,1.0,ensemble__inner_holdout,Inner-holdout ensemble,Conformer,0.010487999999999942,-4194.423537999988,-0.04424072672656687,-3978.013300999999,-0.04205412976323131,True,True,True,-24633.13719400001,3813.785649730169,25383.675222930062,-2,0,-24633.137194282142,0,5,-30436.005058089664,0,12
42,-4,randomforest,95377.776993,0.44,0.4,0.16,88742.7924057884,0.4395017973627715,alexnet,False,-1.0,ensemble__inner_holdout,Inner-holdout ensemble,RandomForest,0.010465999999999975,-4159.148827000012,-0.043607105954097225,-4159.148827000012,-0.043607105954097225,True,True,True,-20103.227266999995,2475.835760211601,21164.681951060804,-1,0,-20103.227266908478,0,3,-25582.605394262064,0,10
42,-8,randomforest,95535.456768,0.65,0.35,0.0,92208.88153146062,0.8623220435816024,conformer,False,-0.5,ensemble__inner_holdout,Inner-holdout ensemble,RandomForest,-0.014799000000000007,5580.646250999998,0.05841439858870556,5580.646250999998,0.05841439858870556,False,False,False,-50304.15978199999,8907.221487539384,44743.903595909374,-1,0,-50304.15978134409,0,3,-27543.188055872073,0,6
42,-12,randomforest,96513.95695,0.78,0.22,0.0,92503.74716197034,1.2072942454228215,conformer,False,-1.0,ensemble__inner_holdout,Inner-holdout ensemble,RandomForest,-0.039841000000000015,14252.750191,0.14767553462121308,14252.750191,0.14767553462121308,False,False,False,-110002.745525,18262.959979029663,72410.24005184218,22,0,-110002.74552521636,0,-10,-45331.65774172128,0,-4
42,-16,randomforest,96813.400358,0.55,0.45,0.0,93294.85032815301,0.7580216304377233,conformer,False,-0.5,ensemble__inner_holdout,Inner-holdout ensemble,RandomForest,-0.0037119999999999376,1411.4951379999984,0.014579543046525867,1411.4951379999984,0.014579543046525867,True,False,False,-30545.78933299998,4930.0451678469835,16923.80595671208,-2,0,-30545.789333316046,0,4,-6170.172332485352,0,14
42,-20,conformer,89235.496645,0.12,0.77,0.11,88674.82920365392,0.991140477599365,alexnet,False,-0.5,ensemble__inner_holdout,Inner-holdout ensemble,Conformer,0.013665999999999956,-5389.969289999994,-0.05573628130446695,2079.394235999993,0.02330232154444456,False,True,False,-19540.96847000002,2640.061677346079,3789.2753681889444,-1,0,-19540.968469869695,0,1,-10298.482665100964,0,8
43,clean,alexnet,89708.321535,0.44,0.0,0.56,78604.12391027063,0.8674063708843933,alexnet,True,1.0,ensemble__inner_holdout,Inner-holdout ensemble,AlexNet,0.02773799999999993,-11430.174966000006,-0.11945054285254608,-5448.893983999995,-0.06074011742460361,True,True,True,-52780.93614399999,5655.303640729369,20454.19141411787,-2,0,-52780.93614440177,0,5,-36905.41808020858,0,14
43,0,randomforest,95299.795284,0.67,0.24,0.09,92410.04293748792,1.0941602824252146,alexnet,False,-1.0,ensemble__inner_holdout,Inner-holdout ensemble,RandomForest,-0.026564000000000032,9827.804783,0.10312514054948863,9827.804783,0.10312514054948863,False,False,False,-17801.182903000008,12717.55712951209,49811.21184860855,-1,0,-17801.182902805376,0,5,-29045.833607025983,0,12
43,-4,randomforest,95800.011278,0.51,0.14,0.35,88813.6365662192,0.974428131095013,conformer,False,0.5,ensemble__inner_holdout,Inner-holdout ensemble,RandomForest,0.008909000000000056,-3512.5559520000097,-0.036665506664785186,-3512.5559520000097,-0.036665506664785186,True,True,True,-36688.39063400001,3473.818759780799,26998.172941246972,-2,0,-36688.39063382948,0,4,-28191.499478945683,0,16
43,-8,randomforest,95858.604684,0.52,0.48,0.0,90312.96259293439,0.6604996223615446,conformer,False,-0.5,ensemble__inner_holdout,Inner-holdout ensemble,RandomForest,-0.007176999999999989,2736.770611999993,0.028550077700607135,2736.770611999993,0.028550077700607135,False,False,False,-49366.08548499999,8282.41270306561,41893.189956064365,-1,0,-49366.08548458009,0,2,-30757.848392829008,0,6
43,-12,randomforest,96895.230298,0.61,0.39,0.0,92711.90662790007,0.6937719214777538,conformer,False,-0.5,ensemble__inner_holdout,Inner-holdout ensemble,RandomForest,-0.004167000000000032,1581.2951710000052,0.016319638914493062,1581.2951710000052,0.016319638914493062,True,False,False,-40817.28475199999,5764.618841099931,31436.16910919854,-1,0,-40817.284752339314,0,1,-20244.916802896347,0,10
43,-16,alexnet,83495.21867,0.0,0.21,0.79,82796.44632331721,0.7400201705794526,alexnet,True,0.5,ensemble__inner_holdout,Inner-holdout ensemble,AlexNet,0.029625000000000012,-12036.358066,-0.1237382664547324,1741.1458489999932,0.02085324018230983,False,True,False,-27223.395925000004,2439.9181956827815,7272.056161666536,-1,0,-27223.39592422692,0,2,-26326.19791911442,0,10
43,-20,conformer,90447.959277,0.29,0.71,0.0,89044.89671997362,0.8709946940013626,randomforest,False,-0.5,ensemble__inner_holdout,Inner-holdout ensemble,Conformer,0.009579999999999922,-3726.2149780000036,-0.03834109271562691,3011.761618999997,0.03329828160938786,False,True,False,-21767.38669100002,4414.824176026377,6338.072798680136,-1,0,-21767.386690880026,0,1,-8649.650209442902,0,11
44,clean,alexnet,84137.301313,0.4,0.0,0.6,72886.35283528363,0.6874386484002487,alexnet,True,1.0,ensemble__inner_holdout,Inner-holdout ensemble,AlexNet,0.04329799999999995,-18530.79875500001,-0.19323780347629183,-6771.756694000011,-0.08048459587274293,True,True,True,-50899.346458,4479.191783716364,1546.7646598240535,-2,0,-50899.34645827126,0,5,-30953.516939111534,0,17
