seed,snr,model_key,model,r2_mean_matched,rmse_all_mean_matched,mae_all_mean_matched,r2_high_mean_matched,rmse_high_mean_matched,mae_high_mean_matched,rmse_onb_mean_matched,mae_onb_mean_matched,roc_auc_cont_mean_matched,pr_auc_cont_mean_matched,accuracy_mean_matched,precision_mean_matched,recall_mean_matched,f1_mean_matched,r2_mean_clean_only,rmse_all_mean_clean_only,mae_all_mean_clean_only,r2_high_mean_clean_only,rmse_high_mean_clean_only,mae_high_mean_clean_only,rmse_onb_mean_clean_only,mae_onb_mean_clean_only,roc_auc_cont_mean_clean_only,pr_auc_cont_mean_clean_only,accuracy_mean_clean_only,precision_mean_clean_only,recall_mean_clean_only,f1_mean_clean_only,delta_rmse_all_mean_matched_minus_clean_only,delta_rmse_onb_mean_matched_minus_clean_only,delta_r2_mean_matched_minus_clean_only,delta_recall_mean_matched_minus_clean_only,delta_f1_mean_matched_minus_clean_only,relative_rmse_matched_vs_clean_only
42,clean,randomforest,RandomForest,0.876416,95729.577205,80162.148425,0.697942,105800.02469,85585.87478,153194.157873,147836.272427,0.933149,0.941029,0.90463,0.996008,0.831667,0.906449,0.876416,95729.577205,80162.148425,0.697942,105800.02469,85585.87478,153194.157873,147836.272427,0.933149,0.941029,0.90463,0.996008,0.831667,0.906449,0.0,0.0,0.0,0.0,0.0,0.0
42,clean,conformer,Conformer,0.927229,73458.513028,57653.054242,0.912813,56841.584412,42943.547889,87169.205661,79025.141562,0.978528,0.985882,0.888889,1.0,0.8,0.888889,0.927229,73458.513028,57653.054242,0.912813,56841.584412,42943.547889,87169.205661,79025.141562,0.978528,0.985882,0.888889,1.0,0.8,0.888889,0.0,0.0,0.0,0.0,0.0,0.0
42,clean,alexnet,AlexNet,0.870409,98028.503932,78500.623763,0.900321,60777.45827,46174.273336,84662.736153,68911.306605,0.910215,0.945882,0.857407,0.951417,0.783333,0.859232,0.870409,98028.503932,78500.623763,0.900321,60777.45827,46174.273336,84662.736153,68911.306605,0.910215,0.945882,0.857407,0.951417,0.783333,0.859232,0.0,0.0,0.0,0.0,0.0,0.0
42,clean,ensemble__simple_equal,Equal ensemble,0.91597,78937.061104,62204.452189,0.880882,66439.833178,49619.237872,102337.721702,95989.211267,0.961111,0.97641,0.892593,1.0,0.806667,0.892989,0.91597,78937.061104,62204.452189,0.880882,66439.833178,49619.237872,102337.721702,95989.211267,0.961111,0.97641,0.892593,1.0,0.806667,0.892989,0.0,0.0,0.0,0.0,0.0,0.0
42,clean,ensemble__inner_holdout,Inner-holdout ensemble,0.921622,76236.084724,59471.215911,0.905453,59192.112088,44017.455819,92356.230486,85827.188177,0.969729,0.981068,0.890741,1.0,0.803333,0.890943,0.921622,76236.084724,59471.215911,0.905453,59192.112088,44017.455819,92356.230486,85827.188177,0.969729,0.981068,0.890741,1.0,0.803333,0.890943,0.0,0.0,0.0,0.0,0.0,0.0
42,0,randomforest,RandomForest,0.878781,94809.101214,79596.381894,0.706497,104291.083023,84514.826665,146751.402593,139584.42627,0.941333,0.948336,0.905556,0.996016,0.833333,0.907441,0.876406,95733.412025,80137.271757,0.697943,105799.898901,85522.703914,153072.266003,147063.728093,0.932326,0.940304,0.905556,0.996016,0.833333,0.907441,-924.310811000003,-6320.863409999991,0.002375000000000016,0.0,0.0,-0.009655049281630412
42,0,conformer,Conformer,0.879333,94592.690977,73841.621357,0.863645,71084.84415,53347.84382,114252.645176,100639.593256,0.931448,0.95993,0.891667,1.0,0.805,0.891967,0.800135,121739.767643,87654.162198,0.942816,46034.09243,37497.504238,22703.350554,17472.698878,0.93825,0.961625,0.867593,0.897391,0.86,0.878298,-27147.076665999994,91549.294622,0.07919799999999999,-0.05499999999999994,0.013668999999999931,-0.2229926768515641
42,0,alexnet,AlexNet,0.826923,113287.842199,95099.830687,0.777904,90721.776617,70920.394831,133299.03017,123259.346655,0.939351,0.962244,0.857407,1.0,0.743333,0.852772,0.785773,126037.814721,91330.899276,0.938687,47666.98093,38185.003364,26015.973174,20643.465928,0.911031,0.946539,0.816667,0.832781,0.838333,0.835548,-12749.972521999996,107283.05699600001,0.04114999999999991,-0.09499999999999997,0.017224000000000017,-0.10115989832276617
42,0,ensemble__simple_equal,Equal ensemble,0.886171,91873.539708,76261.455771,0.828556,79707.964388,58627.095929,127313.788714,118211.370494,0.943802,0.966092,0.887963,0.997921,0.8,0.888067,0.865767,99768.643679,73461.059578,0.917628,55249.921186,43629.208946,61252.348452,58175.024968,0.945688,0.967292,0.903704,0.997992,0.828333,0.905282,-7895.103971000004,66061.44026199999,0.02040400000000009,-0.02833299999999994,-0.01721499999999998,-0.07913412150216315
42,0,ensemble__inner_holdout,Inner-holdout ensemble,0.889269,90614.677676,73715.342777,0.847414,75196.480308,54968.273999,122118.265399,111804.325416,0.94092,0.964921,0.891667,1.0,0.805,0.891967,0.836789,110011.856733,78643.171525,0.9437,45676.615142,36957.876589,37675.502902,34855.979162,0.947389,0.967901,0.9,0.997976,0.821667,0.90128,-19397.179056999987,84442.76249699999,0.05247999999999997,-0.016666999999999987,-0.009313000000000016,-0.17631898627142673
