seed,snr,model_key,model,region,chunks,r2_matched,rmse_matched,mae_matched,mean_residual_matched,misses_matched,false_alarms_matched,r2_clean_only,rmse_clean_only,mae_clean_only,mean_residual_clean_only,misses_clean_only,false_alarms_clean_only,delta_rmse_matched_minus_clean_only,delta_mae_matched_minus_clean_only,delta_mean_residual_matched_minus_clean_only,delta_misses_matched_minus_clean_only,delta_false_alarms_matched_minus_clean_only
42,clean,randomforest,RandomForest,below,480,-0.012098575688866742,81408.14063245419,73382.49048046916,10206.515251927502,0,2,-0.0120985756888667,81408.14063245419,73382.49048046916,10206.515251927502,0,2,0.0,0.0,0.0,0,0
42,clean,randomforest,RandomForest,near,60,-6.926663857218582e+30,153194.15787319953,147836.27242708337,-141135.91727708332,55,0,-6.926663857218582e+30,153194.15787319953,147836.27242708337,-141135.91727708332,55,0,0.0,0.0,0.0,0,0
42,clean,randomforest,RandomForest,above,540,0.6911386062196663,99145.23703322763,78669.16393032408,-76961.02860717593,46,0,0.6911386062196663,99145.23703322763,78669.16393032408,-76961.02860717593,46,0,0.0,0.0,0.0,0,0
42,clean,randomforest,RandomForest,all,1080,0.8764155360660727,95729.57720513211,80162.14842465296,-41785.16959590259,101,2,0.8764155360660727,95729.57720513213,80162.14842465296,-41785.16959590259,101,2,-1.4551915228366852e-11,0.0,0.0,0,0
42,clean,conformer,Conformer,below,480,-0.23740978903971444,90014.65107847881,76039.93718337278,47458.53096644572,0,0,-0.2374097890397144,90014.65107847881,76039.93718337278,47458.53096644572,0,0,0.0,0.0,0.0,0,0
42,clean,conformer,Conformer,near,60,-2.2426726257165004e+30,87169.20566087976,79025.14156229167,-78926.69240729166,59,0,-2.2426726257165004e+30,87169.20566087976,79025.14156229167,-78926.69240729166,59,0,0.0,0.0,0.0,0,0
42,clean,conformer,Conformer,above,540,0.9137277728183029,52399.3074261454,38934.481924768515,-8041.11564421296,61,0,0.9137277728183028,52399.3074261454,38934.48192476852,-8041.11564421296,61,0,0.0,-7.275957614183426e-12,0.0,0,0
42,clean,conformer,Conformer,all,1080,0.9272294156443043,73458.51302849957,57653.05424178838,12687.306362575413,120,0,0.9272294156443044,73458.51302849957,57653.05424178838,12687.306362575411,120,0,0.0,0.0,1.8189894035458565e-12,0,0
42,clean,alexnet,AlexNet,below,480,-1.596828626759014,130400.14482355113,118908.5617955733,103910.00363083374,0,24,-1.596828626759014,130400.14482355112,118908.5617955733,103910.00363083374,0,24,1.4551915228366852e-11,0.0,0.0,0,0
42,clean,alexnet,AlexNet,near,60,-2.1155549250488182e+30,84662.73615333847,68911.30660541667,-67657.95790208333,56,0,-2.1155549250488185e+30,84662.73615333847,68911.30660541667,-67657.95790208333,56,0,0.0,0.0,0.0,0,0
42,clean,alexnet,AlexNet,above,540,0.8960620917832671,57514.45754891699,43647.93630620371,-22336.5190875,74,0,0.8960620917832671,57514.45754891699,43647.93630620371,-22336.5190875,74,0,0.0,0.0,0.0,0,0
42,clean,alexnet,AlexNet,all,1080,0.8704085510224286,98028.50393219262,78500.62376254649,31255.188853171483,130,24,0.8704085510224286,98028.50393219262,78500.62376254649,31255.188853171483,130,24,0.0,0.0,0.0,0,0
42,clean,ensemble__simple_equal,Equal ensemble,below,480,-0.2984098784003604,92206.66919739671,77935.97008504815,53858.34994973565,0,0,-0.2984098784003604,92206.66919739672,77935.97008504815,53858.34994973565,0,0,-1.4551915228366852e-11,0.0,0.0,0,0
42,clean,ensemble__simple_equal,Equal ensemble,near,60,-3.0910867508490934e+30,102337.72170202788,95989.2112671528,-95906.85586215282,59,0,-3.0910867508490934e+30,102337.72170202788,95989.2112671528,-95906.85586215282,59,0,0.0,0.0,0.0,0,0
42,clean,ensemble__simple_equal,Equal ensemble,above,540,0.8824522992182355,61164.173467735054,44467.018606111145,-35779.554446296366,57,0,0.8824522992182355,61164.173467735054,44467.018606111145,-35779.554446296366,57,0,0.0,0.0,0.0,0,0
42,clean,ensemble__simple_equal,Equal ensemble,all,1080,0.9159701665366513,78937.0611038762,62204.45218902992,719.108539948064,116,0,0.9159701665366512,78937.0611038762,62204.45218902992,719.108539948064,116,0,0.0,0.0,0.0,0,0
42,clean,ensemble__inner_holdout,Inner-holdout ensemble,below,480,-0.3282147026047295,93258.9605065674,78788.41602609589,55915.30094949859,0,0,-0.3282147026047295,93258.9605065674,78788.41602609589,55915.30094949859,0,0,0.0,0.0,0.0,0,0
42,clean,ensemble__inner_holdout,Inner-holdout ensemble,near,60,-2.517515209167246e+30,92356.2304856247,85827.1881768673,-85795.2052946997,59,0,-2.517515209167246e+30,92356.2304856247,85827.1881768673,-85795.2052946997,59,0,0.0,0.0,0.0,0,0
42,clean,ensemble__inner_holdout,Inner-holdout ensemble,above,540,0.9074568363286092,54270.298838863426,39371.93000149217,-22423.004232995543,59,0,0.9074568363286092,54270.29883886343,39371.93000149217,-22423.004232995543,59,0,-7.275957614183426e-12,0.0,0.0,0,0
42,clean,ensemble__inner_holdout,Inner-holdout ensemble,all,1080,0.9216222549592956,76236.08472376877,59471.21591105911,8873.342455796072,118,0,0.9216222549592956,76236.08472376877,59471.21591105911,8873.342455796072,118,0,0.0,0.0,0.0,0,0
42,0,randomforest,RandomForest,below,480,-0.012350544129809737,81418.2735415703,73448.32592968791,9964.430714167083,0,2,-0.0123559464005,81418.49078004001,73405.48156119834,10183.524171198334,0,2,-0.2172384697041707,42.84436848957557,-219.0934570312511,0,0
42,0,randomforest,RandomForest,near,60,-6.356297660240796e+30,146751.40259335685,139584.42626958332,-132218.65946458332,54,0,-6.915645576524482e+30,153072.26600334494,147063.72809250004,-139865.82899583332,54,0,-6320.863409988087,-7479.301822916721,7647.169531249994,0,0
42,0,randomforest,RandomForest,above,540,0.695459608778306,98449.26827656149,78395.98226444445,-76659.51208518518,46,0,0.6910092033310664,99166.0041747319,78684.81233888889,-76976.67701574074,46,0,-716.7358981704165,-288.8300744444423,317.164930555562,0,0
42,0,randomforest,RandomForest,all,1080,0.8787807324724981,94809.1012135997,79596.38189372704,-41246.60125099518,100,2,0.8764056345572325,95733.41202481704,80137.27175733814,-41732.65159821741,100,2,-924.3108112173359,-540.8898636110971,486.05034722222626,0,0
42,0,conformer,Conformer,below,480,-1.1099643623999138,117542.24701868733,99458.84327794962,54700.86581751994,0,0,-3.688006536352917,175206.6286570147,150349.9846479692,150105.9074394275,0,59,-57664.381638327366,-50891.14137001957,-95405.04162190757,0,-59
42,0,conformer,Conformer,near,60,-3.852762449201757e+30,114252.64517582183,100639.59325635416,-99156.10536302083,58,0,-1.521316638390241e+29,22703.35055380761,17472.698878333336,-11588.607641666678,41,0,91549.29462201422,83166.89437802082,-87567.49772135416,17,0
42,0,conformer,Conformer,above,540,0.869159896726743,64529.82406827029,48093.20499335648,-12186.52378946759,59,0,0.9278157322879372,47930.42936568892,39722.48261143518,4735.262365046297,43,0,16599.39470258137,8370.722381921296,-16921.786154513888,16,0
42,0,conformer,Conformer,all,1080,0.8793334884923798,94592.69097669532,73841.62135667553,12709.56150399613,117,0,0.8001350986955004,121739.76764253216,87654.16219805575,68437.55628662057,84,59,-27147.076665836837,-13812.540841380222,-55727.994782624446,33,-59
42,0,alexnet,AlexNet,below,480,-1.8388170494695837,136340.57810192875,125324.12550804061,-7135.353416914803,0,0,-4.024732841244902,181389.8228271692,157763.26916536505,157707.22176234418,0,101,-45049.24472524045,-32439.143657324443,-164842.57517925897,0,-101
42,0,alexnet,AlexNet,near,60,-5.244374348678858e+30,133299.03017000994,123259.34665533854,-123259.34665533854,60,0,-1.997652105448728e+29,26015.97317393293,20643.465927500005,-15395.260245833344,47,0,107283.05699607701,102615.88072783854,-107864.0864095052,13,0
42,0,alexnet,AlexNet,above,540,0.7746913093408258,84679.64210406298,65104.95573895831,-28875.749744328703,94,0,0.9230374882965912,49491.39077696771,40134.06307953704,-24917.51422638889,50,0,35188.25132709527,24970.892659421275,-3958.2355179398146,44,0
42,0,alexnet,AlexNet,all,1080,0.8269234593811787,113287.84219938266,95099.83068723825,-24456.884538311962,154,0,0.7857734342400803,126037.81472058035,91330.89927590296,56778.04921196779,97,101,-12749.972521197691,3768.9314113352884,-81234.93375027974,57,-101
42,0,ensemble__simple_equal,Equal ensemble,below,480,-0.687519153167113,105118.89429475069,98304.40557242268,19176.647704924068,0,1,-1.8375288230911595,136309.63960602463,110750.87286751776,105998.88445765663,0,1,-31190.745311273946,-12446.467295095077,-86822.23675273257,0,0
42,0,ensemble__simple_equal,Equal ensemble,near,60,-4.7839936006100305e+30,127313.78871387696,118211.37049431427,-118211.37049431427,60,0,-1.1073507244021334e+30,61252.34845243156,58175.02496750002,-55616.56562777783,54,0,66061.4402614454,60036.34552681424,-62594.80486653643,6,0
42,0,ensemble__simple_equal,Equal ensemble,above,540,0.8347786567257907,72514.20939102377,52006.62097768521,-39240.595206327234,60,0,0.9065271251012368,54542.22392837664,42013.00716594139,-32386.30962569452,49,0,17971.985462647135,9993.613811743824,-6854.285580632713,11,0
42,0,ensemble__simple_equal,Equal ensemble,all,1080,0.8861711115712314,91873.53970755932,76261.4557707146,-17664.64142843705,120,1,0.8657668651327439,99768.64367865487,73461.05957783971,27827.651300123587,103,1,-7895.103971095552,2800.3961928748904,-45492.29272856064,17,0
42,0,ensemble__inner_holdout,Inner-holdout ensemble,below,480,-0.7419893553313881,106801.94876450037,97149.17874862536,31884.495100293658,0,0,-2.760337594406687,156916.94597907286,130749.7901950604,130169.58638885085,0,1,-50114.99721457249,-33600.61144643504,-98285.09128855719,0,-1
42,0,ensemble__inner_holdout,Inner-holdout ensemble,near,60,-4.4015025603253286e+30,122118.2653990747,111804.32541608537,-111796.29622246596,59,0,-4.189457811214406e+29,37675.502901649445,34855.97916239089,-32590.736853067487,55,0,84442.76249742525,76948.34625369447,-79205.55936939847,4,0
42,0,ensemble__inner_holdout,Inner-holdout ensemble,above,540,0.8546526423267196,68013.26321847182,48653.15717473261,-30908.99360732779,58,0,0.932116380758797,46480.68677684565,37191.42074785654,-15528.79168405632,52,0,21532.576441626174,11461.736426876072,-15380.20192327147,6,0
42,0,ensemble__inner_holdout,Inner-holdout ensemble,all,1080,0.8892691340192657,90614.67767600245,73715.34277653787,-7494.515438114827,117,0,0.8367885641165026,110011.85673253368,78643.17152519905,48278.157172290674,107,1,-19397.179056531226,-4927.828748661181,-55772.6726104055,10,-1
42,-4,randomforest,RandomForest,below,480,-0.020540481953292833,81746.94793286818,73711.05333854209,9903.317367812917,0,2,-0.0123559464005,81418.49078004001,73405.48156119834,10183.524171198334,0,2,328.4571528281667,305.57177734375,-280.2068033854175,0,0
42,-4,randomforest,RandomForest,near,60,-6.592195089983525e+30,149449.74320411624,142163.75791020834,-134905.432771875,54,0,-6.897316833479141e+30,152869.28541219173,146850.49528000003,-139644.98993333333,54,0,-3419.5422080754943,-4686.737369791692,4739.557161458331,0,0
42,-4,randomforest,RandomForest,above,540,0.6929511428528874,98853.89470202515,78394.36811166668,-76616.70919166667,46,0,0.691425568740438,99099.16850666374,78636.81374224537,-76928.67841909722,46,0,-245.273804638593,-242.445630578688,311.9692274305562,0,0
42,-4,randomforest,RandomForest,all,1080,0.8773221973966734,95377.77699301297,79855.63875686361,-41401.62647524287,100,2,0.8765415105306475,95680.7743192722,80101.42619165526,-41696.38346309009,100,2,-302.9973262592248,-245.78743479165132,294.75698784722044,0,0
42,-4,conformer,Conformer,below,480,-1.865282933133559,136974.6455152558,107900.11592692748,101360.13956833373,0,2,-5.801108040196905,211031.0042618468,192346.26694463583,192346.26694463583,0,356,-74056.358746591,-84446.15101770835,-90986.1273763021,0,-354
42,-4,conformer,Conformer,near,60,-1.3994872932079786e+30,68859.62087060594,61946.28941791666,-59405.60321458333,56,0,-3.639841075062005e+29,35117.31944979304,31041.17926291666,28674.45511874999,7,0,33742.3014208129,30905.110155000002,-88080.05833333332,49,0
42,-4,conformer,Conformer,above,540,0.8914696726301825,58771.340758839746,43686.25166893518,-36587.320563194444,57,0,0.9359649274174062,45143.891659591965,36835.87917356481,17514.19795532407,8,0,13627.44909924778,6850.372495370371,-54101.51851851851,49,0
42,-4,conformer,Conformer,all,1080,0.8607047830872142,101632.4286474462,73240.19343631963,23454.979347963144,113,2,0.718414088461888,144500.6041492569,105629.6792990048,95837.35401520852,15,356,-42868.17550181069,-32389.485862685164,-72382.37466724537,98,-354
