seed,snr,model_key,model,r2_mean,rmse_all_mean,mae_all_mean,r2_high_mean,rmse_high_mean,mae_high_mean,rmse_onb_mean,mae_onb_mean,roc_auc_cont_mean,pr_auc_cont_mean,accuracy_mean,precision_mean,recall_mean,f1_mean
42,clean,randomforest,RandomForest,0.876416,95729.577205,80162.148425,0.697942,105800.02469,85585.87478,153194.157873,147836.272427,0.933149,0.941029,0.90463,0.996008,0.831667,0.906449
42,clean,conformer,Conformer,0.927229,73458.513028,57653.054242,0.912813,56841.584412,42943.547889,87169.205661,79025.141562,0.978528,0.985882,0.888889,1.0,0.8,0.888889
42,clean,alexnet,AlexNet,0.870409,98028.503932,78500.623763,0.900321,60777.45827,46174.273336,84662.736153,68911.306605,0.910215,0.945882,0.857407,0.951417,0.783333,0.859232
42,clean,ensemble__simple_equal,Equal ensemble,0.91597,78937.061104,62204.452189,0.880882,66439.833178,49619.237872,102337.721702,95989.211267,0.961111,0.97641,0.892593,1.0,0.806667,0.892989
42,clean,ensemble__inner_holdout,Inner-holdout ensemble,0.921622,76236.084724,59471.215911,0.905453,59192.112088,44017.455819,92356.230486,85827.188177,0.969729,0.981068,0.890741,1.0,0.803333,0.890943
42,0,randomforest,RandomForest,0.878781,94809.101214,79596.381894,0.706497,104291.083023,84514.826665,146751.402593,139584.42627,0.941333,0.948336,0.905556,0.996016,0.833333,0.907441
42,0,conformer,Conformer,0.879333,94592.690977,73841.621357,0.863645,71084.84415,53347.84382,114252.645176,100639.593256,0.931448,0.95993,0.891667,1.0,0.805,0.891967
42,0,alexnet,AlexNet,0.826923,113287.842199,95099.830687,0.777904,90721.776617,70920.394831,133299.03017,123259.346655,0.939351,0.962244,0.857407,1.0,0.743333,0.852772
42,0,ensemble__simple_equal,Equal ensemble,0.886171,91873.539708,76261.455771,0.828556,79707.964388,58627.095929,127313.788714,118211.370494,0.943802,0.966092,0.887963,0.997921,0.8,0.888067
42,0,ensemble__inner_holdout,Inner-holdout ensemble,0.889269,90614.677676,73715.342777,0.847414,75196.480308,54968.273999,122118.265399,111804.325416,0.94092,0.964921,0.891667,1.0,0.805,0.891967
42,-4,randomforest,RandomForest,0.877322,95377.776993,79855.638757,0.702401,105016.216949,84771.307092,149449.743204,142163.75791,0.932957,0.942566,0.905556,0.996016,0.833333,0.907441
42,-4,conformer,Conformer,0.860705,101632.428647,73240.193436,0.903318,59856.73048,45512.255444,68859.620871,61946.289418,0.925764,0.957842,0.893519,0.99591,0.811667,0.894399
42,-4,alexnet,AlexNet,0.796637,122800.502424,92938.933996,0.730035,100021.795521,67716.590506,179571.295068,156548.891617,0.94542,0.966567,0.885185,0.995833,0.796667,0.885185
42,-4,ensemble__simple_equal,Equal ensemble,0.889842,90379.82835,74222.929825,0.821372,81360.934225,59572.731677,128817.744908,118578.823005,0.946472,0.968251,0.896296,0.997959,0.815,0.897248
42,-4,ensemble__inner_holdout,Inner-holdout ensemble,0.887788,91218.628166,74429.614313,0.824468,80652.748073,58249.453968,129346.515937,118376.817614,0.946177,0.968009,0.894444,0.997951,0.811667,0.895221
42,-8,randomforest,RandomForest,0.876916,95535.456768,79793.009072,0.70114,105238.536759,84621.150535,149932.940197,143036.871061,0.928012,0.943909,0.905556,0.996016,0.833333,0.907441
42,-8,conformer,Conformer,0.856454,103171.529668,82510.450456,0.882513,65983.64552,51256.944684,89216.609041,76817.615335,0.955385,0.971153,0.902778,0.995992,0.828333,0.904459
