snr,model_key,model,r2_mean_mean,r2_mean_std,r2_mean_min,r2_mean_max,rmse_all_mean_mean,rmse_all_mean_std,rmse_all_mean_min,rmse_all_mean_max,mae_all_mean_mean,mae_all_mean_std,mae_all_mean_min,mae_all_mean_max,rmse_onb_mean_mean,rmse_onb_mean_std,rmse_onb_mean_min,rmse_onb_mean_max,roc_auc_cont_mean_mean,roc_auc_cont_mean_std,roc_auc_cont_mean_min,roc_auc_cont_mean_max,recall_mean_mean,recall_mean_std,recall_mean_min,recall_mean_max,f1_mean_mean,f1_mean_std,f1_mean_min,f1_mean_max
clean,randomforest,RandomForest,0.8763066666666667,0.00028329195776324135,0.875985,0.876519,95771.84103200001,109.6591026444621,95689.602517,95896.343374,80135.899895,62.83554037259,80064.196059,80181.355201,152227.00469666664,904.3339167065348,151402.42828,153194.157873,0.9330913333333334,0.0008589530448943802,0.932205,0.93392,0.831667,0.0,0.831667,0.831667,0.906449,0.0,0.906449,0.906449
clean,conformer,Conformer,0.9016413333333334,0.02249832714521975,0.884958,0.927229,85001.620209,10122.096074680263,73458.513028,92361.989837,68638.117562,9543.969077981134,57653.054242,74894.608418,87713.488551,10038.284774067322,77958.418105,98012.841887,0.9612536666666666,0.015334779891910226,0.949247,0.978528,0.7938890000000001,0.005357514629004812,0.79,0.8,0.8850973333333334,0.003324519865083307,0.882682,0.888889
clean,alexnet,AlexNet,0.8888053333333333,0.017218195037033708,0.870409,0.904534,90624.70892666666,6990.794085025853,84137.301313,98028.503932,76695.457413,1992.040327684467,74558.266809,78500.623763,93828.25721333333,13912.319591606856,84662.736153,109836.758603,0.942632,0.028402178560807657,0.910215,0.963146,0.7888890000000001,0.006939153550686151,0.783333,0.796667,0.8752783333333333,0.014336762547148978,0.859232,0.886827
clean,ensemble__simple_equal,Equal ensemble,0.9175383333333333,0.004708643576799256,0.913814,0.922831,78175.56375833333,2247.7087489686105,75646.027994,79943.602177,62554.58416866666,1421.7653920338207,61340.595614,64118.704703,106999.25543099998,4039.575763874235,102337.721702,109474.070281,0.963361,0.005127662625407398,0.959743,0.969229,0.803889,0.0034695767753430977,0.8,0.806667,0.8912816666666666,0.0021341886826926047,0.888889,0.892989
clean,ensemble__inner_holdout,Inner-holdout ensemble,0.915054,0.009423329401013227,0.904257,0.921622,79287.01896466665,4343.104336265072,76236.084724,84259.427551,64316.75128433333,4877.502943235496,59471.215911,69225.605287,97387.60136700001,4541.917798300278,92356.230486,101185.081479,0.9655196666666667,0.006605902385997911,0.957906,0.969729,0.7994443333333333,0.004194197936832918,0.795,0.803333,0.888542,0.0025919793594857713,0.885794,0.890943
0,randomforest,RandomForest,0.8781256666666667,0.0006306515149694991,0.877523,0.878781,95064.76439666667,245.99682170982143,94809.101214,95299.795284,79690.46158333334,147.0394870835658,79596.381894,79859.903919,147141.37401766668,411.466595837136,146751.402593,147571.405418,0.9407986666666667,0.00046300575950335615,0.940516,0.941333,0.833333,0.0,0.833333,0.833333,0.907441,0.0,0.907441,0.907441
0,conformer,Conformer,0.8617123333333333,0.015322848603746421,0.851515,0.879333,101156.98037633333,5706.12608714904,94592.690977,104931.520683,79461.50544233333,4954.032447059187,73841.621357,83196.171572,119514.33587366667,29450.47374066368,93049.367747,151240.994698,0.9339620000000001,0.012701981853238497,0.922705,0.947733,0.8016666666666667,0.01040832999733067,0.79,0.81,0.8890703333333333,0.005540451997205038,0.882682,0.892562
0,alexnet,AlexNet,0.7986793333333333,0.03684615614054381,0.757001,0.826923,121852.77828566667,10983.166459333846,113287.842199,134235.329529,96661.81278600001,4656.832540861321,92986.768798,101898.838873,162777.055106,57945.351665030255,125497.337159,229534.797989,0.9240116666666668,0.013286511405682573,0.916097,0.939351,0.7783333333333333,0.03419747391743038,0.743333,0.811667,0.8731623333333333,0.0189782884458355,0.852772,0.890311
0,ensemble__simple_equal,Equal ensemble,0.8777136666666667,0.0073745823836562354,0.872625,0.886171,95196.149171,2896.2437025268528,91873.539708,97186.73699,77937.77437266667,1463.9944668847536,76261.455771,78965.001805,138310.63891633332,12847.71949265397,127313.788714,152432.628268,0.9358193333333333,0.008063685654422136,0.927677,0.943802,0.805,0.0044095225365111375,0.8,0.808333,0.891414,0.003041540563596048,0.888067,0.894009
0,ensemble__inner_holdout,Inner-holdout ensemble,0.8735499999999999,0.020058223076833106,0.850959,0.889269,96635.84578066667,7565.32062391139,90614.677676,105127.600067,78351.49193966667,5764.253486504145,73715.342777,84805.531821,130608.22508,8938.471439422792,122118.265399,139936.187326,0.9323770000000001,0.00740619463692385,0.927767,0.94092,0.8072223333333334,0.0038491942446872225,0.805,0.811667,0.8930516666666666,0.0026239047873986157,0.891144,0.896044
