seed,snr,model_left,model_right,residual_correlation
42,clean,RandomForest,Conformer,0.8435179015971769
42,clean,RandomForest,AlexNet,0.8104168703093759
42,clean,Conformer,AlexNet,0.8408148032688724
42,0,RandomForest,Conformer,0.8279015651239983
42,0,RandomForest,AlexNet,0.6805866734542496
42,0,Conformer,AlexNet,0.9039596232258666
42,-4,RandomForest,Conformer,0.892219639565653
42,-4,RandomForest,AlexNet,0.5857978389824284
42,-4,Conformer,AlexNet,0.566057730787931
42,-8,RandomForest,Conformer,0.7845426656509814
42,-8,RandomForest,AlexNet,0.8214387018155689
42,-8,Conformer,AlexNet,0.9521715676779047
42,-12,RandomForest,Conformer,0.7783183307868695
42,-12,RandomForest,AlexNet,0.8334543771351661
42,-12,Conformer,AlexNet,0.8878513072564524
42,-16,RandomForest,Conformer,0.8298269512796722
42,-16,RandomForest,AlexNet,0.9098010327313129
42,-16,Conformer,AlexNet,0.8620852259972759
42,-20,RandomForest,Conformer,0.9389131870211835
42,-20,RandomForest,AlexNet,0.9667315163335738
42,-20,Conformer,AlexNet,0.9605723112731488
43,clean,RandomForest,Conformer,0.8253987185660996
43,clean,RandomForest,AlexNet,0.730658253473647
43,clean,Conformer,AlexNet,0.8980876034043194
43,0,RandomForest,Conformer,0.7406143413968921
43,0,RandomForest,AlexNet,0.7659644249936496
43,0,Conformer,AlexNet,0.9044216200788996
43,-4,RandomForest,Conformer,0.7907652220111137
43,-4,RandomForest,AlexNet,0.876333151395966
43,-4,Conformer,AlexNet,0.8724697649440846
43,-8,RandomForest,Conformer,0.7842118178335746
43,-8,RandomForest,AlexNet,0.7718029066726894
43,-8,Conformer,AlexNet,0.8555942728315343
43,-12,RandomForest,Conformer,0.7406724403663633
43,-12,RandomForest,AlexNet,0.8607396798136363
43,-12,Conformer,AlexNet,0.8215053259623447
43,-16,RandomForest,Conformer,0.9133391620045901
43,-16,RandomForest,AlexNet,0.8893759596953739
43,-16,Conformer,AlexNet,0.897315051080856
43,-20,RandomForest,Conformer,0.9005644746963527
43,-20,RandomForest,AlexNet,0.8808420441553877
43,-20,Conformer,AlexNet,0.8865973383459129
44,clean,RandomForest,Conformer,0.7627138889718312
44,clean,RandomForest,AlexNet,0.6116039360819118
44,clean,Conformer,AlexNet,0.9064823363240064
44,0,RandomForest,Conformer,0.8179729582273559
44,0,RandomForest,AlexNet,0.6080795476107391
44,0,Conformer,AlexNet,0.8210322253239153
44,-4,RandomForest,Conformer,0.6429304613405101
44,-4,RandomForest,AlexNet,0.8223981835592236
44,-4,Conformer,AlexNet,0.8835013490718854
44,-8,RandomForest,Conformer,0.6680441614697575
44,-8,RandomForest,AlexNet,0.7429347507657069
44,-8,Conformer,AlexNet,0.9322933220331101
44,-12,RandomForest,Conformer,0.7964977540943549
44,-12,RandomForest,AlexNet,0.9242218134598695
44,-12,Conformer,AlexNet,0.8009485770302722
44,-16,RandomForest,Conformer,0.7169308482471685
44,-16,RandomForest,AlexNet,0.9026806115398047
44,-16,Conformer,AlexNet,0.5803583531107172
44,-20,RandomForest,Conformer,0.6817559591599804
44,-20,RandomForest,AlexNet,0.9076318708001627
44,-20,Conformer,AlexNet,0.6309067195812913
