snr,model_key,model,weight_mean,weight_std,weight_min,weight_max,inner_error_mean,inner_error_std,selected_epoch_mean,selected_epoch_std
clean,randomforest,RandomForest,0.1626112659665769,0.037085694794759705,0.1291366762704615,0.2024772798002942,0.21962903861824914,0.08585590433937325,,
clean,conformer,Conformer,0.4561026810816977,0.1250963101825807,0.3437193242001243,0.5908855336027723,0.09435713059162754,0.0807668726399382,170.0,10.0
clean,alexnet,AlexNet,0.3812860529517253,0.11150120478533088,0.2528946245682527,0.4538033959995814,0.09986930617371655,0.04755364596086319,136.66666666666666,55.075705472861024
0,randomforest,RandomForest,0.23926757747881355,0.1160898774099185,0.1229198587873928,0.3550978840227898,0.21739481121151005,0.08771850357837635,,
0,conformer,Conformer,0.41234446656089735,0.15197550576079952,0.260762763535462,0.5647107373162307,0.1412095032217571,0.1153404351589242,123.33333333333333,47.258156262526086
0,alexnet,AlexNet,0.3483879559602891,0.2328036914856841,0.1955042730575112,0.6163173776771452,0.244165650290828,0.2275185074727376,110.0,36.05551275463989
-4,randomforest,RandomForest,0.2782078087739664,0.07516365872732635,0.205253699649737,0.3554015560393877,0.21851938608749388,0.08585876756482513,,
-4,conformer,Conformer,0.44677265578053643,0.15660402493294293,0.3462809306858397,0.6272140655475065,0.16681016647954913,0.12936797604367437,53.333333333333336,15.275252316519468
-4,alexnet,AlexNet,0.27501953544549707,0.10613617063871544,0.1675322348027564,0.3797508986813857,0.24364275030203517,0.14461065399647957,56.666666666666664,56.86240703077327
-8,randomforest,RandomForest,0.25373485522902134,0.08685943137475446,0.1897501888192277,0.3526153986586375,0.21846863189083646,0.0867226873483564,,
-8,conformer,Conformer,0.45749222487859836,0.13538706130138628,0.3207780337178029,0.5915119340169595,0.16174383427084438,0.16366120529716802,100.0,34.64101615137755
-8,alexnet,AlexNet,0.28877291989238024,0.060717468451908695,0.2187378771638128,0.3266065676235595,0.2011204895971512,0.12375528760303181,100.0,52.91502622129181
-12,randomforest,RandomForest,0.2654405407059191,0.09027340117546268,0.1763528772885892,0.3568547055680451,0.21792575297777717,0.08763078393585808,,
-12,conformer,Conformer,0.47154794373762776,0.12486985658796149,0.352108842032252,0.6012189550622582,0.15531282499266622,0.14674467247196046,160.0,36.05551275463989
-12,alexnet,AlexNet,0.26301151555645297,0.03598693444075776,0.2224281676491525,0.2910364523997027,0.22751605802925698,0.1417330372940917,56.666666666666664,40.414518843273804
-16,randomforest,RandomForest,0.3070214934144629,0.11999650158832031,0.1709891847811383,0.397853621288081,0.21790359199818865,0.0863554810816816,,
-16,conformer,Conformer,0.3390114882741715,0.12069059369025965,0.2277884111155568,0.4673436548474255,0.23446716129201825,0.16391216487991708,140.0,78.10249675906654
-16,alexnet,AlexNet,0.3539670183113655,0.07019046030718955,0.2802439798523867,0.4199899147102737,0.22256474215922925,0.19870709430040845,36.666666666666664,25.16611478423583
-20,randomforest,RandomForest,0.37772829189072216,0.026037401214743728,0.3580980795174017,0.4072648922817091,0.228382670081249,0.08939703222253212,,
-20,conformer,Conformer,0.28390333817905156,0.01634563113873233,0.2744297612003175,0.3027776003375186,0.3045344068265116,0.12262126218933234,153.33333333333334,47.25815626252608
-20,alexnet,AlexNet,0.33836836993022623,0.04221021939578495,0.2899575073807724,0.3674721592822807,0.2732856051944899,0.16678386379157192,153.33333333333334,80.82903768654761
