threshold_psd,threshold_in_1e9_units,excluded_onb_chunks_2025_06_11,total_onb_chunks_2025_06_11,excluded_onb_chunks_2025_06_18,total_onb_chunks_2025_06_18,excluded_onb_chunks_2025_07_09,total_onb_chunks_2025_07_09
3e-11,0.03,0,480,2,480,14,420
5e-11,0.05,0,480,3,480,188,420
1e-10,0.1,0,480,4,480,203,420
3e-10,0.3,0,480,4,480,208,420
1e-9,1,0,480,6,480,211,420
3e-9,3,0,480,13,480,219,420
1e-8,10,1,480,31,480,226,420
3e-8,30,11,480,60,480,237,420
5e-8,50,21,480,72,480,242,420
1e-7,100,57,480,108,480,258,420
